size_bin,slice_id,D_est
"[11376, 22151)",0,1.4196869673909958
"[11376, 22151)",1,1.3622433872629913
"[11376, 22151)",2,1.3253412843719121
"[11376, 22151)",3,1.3049471549063731
"[11376, 22151)",4,1.292540877523913
"[11376, 22151)",5,1.2845213886944506
"[11376, 22151)",6,1.281433895146541
"[11376, 22151)",7,1.279639119605343
"[11376, 22151)",8,1.2773551662423628
"[11376, 22151)",9,1.2780251982139539
"[11376, 22151)",10,1.2818975609617922
"[11376, 22151)",11,1.2851017419421553
"[11376, 22151)",12,1.2901300230939994
"[11376, 22151)",13,1.2960494856736495
"[11376, 22151)",14,1.301994031132833
"[11376, 22151)",15,1.3078541010469493
"[11376, 22151)",16,1.3116287119338548
"[11376, 22151)",17,1.3136325200951176
"[11376, 22151)",18,1.3153299440543398
"[11376, 22151)",19,1.3162552207179212
"[11376, 22151)",20,1.3164072145920203
"[11376, 22151)",21,1.3164149626268222
"[11376, 22151)",22,1.3178335996442105
"[11376, 22151)",23,1.3187324623301984
"[11376, 22151)",24,1.3198848380794614
"[11376, 22151)",25,1.3217722891355563
"[11376, 22151)",26,1.3237949469988828
"[11376, 22151)",27,1.3261886508569858
"[11376, 22151)",28,1.3288935886381614
"[11376, 22151)",29,1.3307110654297034
"[1206846, 2349785)",0,1.4043853577343308
"[1206846, 2349785)",1,1.3500210749317694
"[1206846, 2349785)",2,1.3243541294514103
"[1206846, 2349785)",3,1.3072862034123671
"[1206846, 2349785)",4,1.2936061641857428
"[1206846, 2349785)",5,1.2851640446247126
"[1206846, 2349785)",6,1.280600914477623
"[1206846, 2349785)",7,1.2811349882919358
"[1206846, 2349785)",8,1.2841278368913744
"[1206846, 2349785)",9,1.285462346909089
"[1206846, 2349785)",10,1.2888754720437752
"[1206846, 2349785)",11,1.2930233713489914
"[1206846, 2349785)",12,1.2972534592847476
"[1206846, 2349785)",13,1.3029646073459036
"[1206846, 2349785)",14,1.3067887623662446
"[1206846, 2349785)",15,1.310075691204333
"[1206846, 2349785)",16,1.3118175533543093
"[1206846, 2349785)",17,1.313138710441584
"[1206846, 2349785)",18,1.3152622365469904
"[1206846, 2349785)",19,1.3160999015006407
"[1206846, 2349785)",20,1.3174688347415875
"[1206846, 2349785)",21,1.319248545212053
"[1206846, 2349785)",22,1.320189991277245
"[1206846, 2349785)",23,1.320655136526615
"[1206846, 2349785)",24,1.3213761545366474
"[1206846, 2349785)",25,1.3223065879001397
"[1206846, 2349785)",26,1.3241303972678913
"[1206846, 2349785)",27,1.3263332763991804
"[1206846, 2349785)",28,1.3294625643788818
"[1206846, 2349785)",29,1.3314917101506343
"[163502, 318346)",0,1.3930235142486667
"[163502, 318346)",1,1.3561387068802657
"[163502, 318346)",2,1.3280992381744512
"[163502, 318346)",3,1.3123781906187566
"[163502, 318346)",4,1.2992786996306858
"[163502, 318346)",5,1.2903510169183219
"[163502, 318346)",6,1.2855479701276353
"[163502, 318346)",7,1.285701171612875
"[163502, 318346)",8,1.2853282761867169
"[163502, 318346)",9,1.2877172040655074
"[163502, 318346)",10,1.2903707752656945
"[163502, 318346)",11,1.2941936520666075
"[163502, 318346)",12,1.2975266005515342
"[163502, 318346)",13,1.3022121432226605
"[163502, 318346)",14,1.306235441768379
"[163502, 318346)",15,1.3097975838816038
"[163502, 318346)",16,1.3127384989566566
"[163502, 318346)",17,1.3147497032303475
"[163502, 318346)",18,1.3162981578981519
"[163502, 318346)",19,1.3172904850667955
"[163502, 318346)",20,1.3172203233520525
"[163502, 318346)",21,1.3180218369456869
"[163502, 318346)",22,1.3189608217097872
"[163502, 318346)",23,1.3207171125207904
"[163502, 318346)",24,1.3225558138074847
"[163502, 318346)",25,1.324620537573969
"[163502, 318346)",26,1.3265462232126481
"[163502, 318346)",27,1.3292931802309944
"[163502, 318346)",28,1.3322573874043815
"[163502, 318346)",29,1.3343608425765712
"[22151, 43129)",0,1.4028419889067698
"[22151, 43129)",1,1.3559450614305815
"[22151, 43129)",2,1.3317692200008358
"[22151, 43129)",3,1.310039371354874
"[22151, 43129)",4,1.2949772195463811
"[22151, 43129)",5,1.2867334970112987
"[22151, 43129)",6,1.2824879397814608
"[22151, 43129)",7,1.2804435734296822
"[22151, 43129)",8,1.2780937095924738
"[22151, 43129)",9,1.2762760391969286
