cloud_id,slice_id,area,perimeter,source_file,size_bin
1274,-1,4279,1314,lattice_54_20250503_010047.csv,"[3001, 5970)"
548,-1,3616,846,lattice_59_20250503_010033.csv,"[3001, 5970)"
1384,-1,5043,1158,lattice_159_20250503_042105.csv,"[3001, 5970)"
916,-1,5408,1158,lattice_63_20250503_010515.csv,"[3001, 5970)"
1420,-1,4230,1284,lattice_21_20250502_235549.csv,"[3001, 5970)"
456,-1,3479,1088,lattice_150_20250503_041215.csv,"[3001, 5970)"
1468,-1,3612,1334,lattice_189_20250503_051925.csv,"[3001, 5970)"
485,-1,3770,960,lattice_186_20250503_051608.csv,"[3001, 5970)"
1498,-1,5117,1202,lattice_100_20250503_023727.csv,"[3001, 5970)"
1192,-1,4365,1168,lattice_199_20250503_053452.csv,"[3001, 5970)"
1081,-1,3189,818,lattice_86_20250503_020447.csv,"[3001, 5970)"
737,-1,5646,1168,lattice_193_20250503_053022.csv,"[3001, 5970)"
312,-1,3274,1314,lattice_66_20250503_012912.csv,"[3001, 5970)"
224,-1,5539,1310,lattice_81_20250503_020229.csv,"[3001, 5970)"
16,-1,3966,1254,lattice_122_20250503_031037.csv,"[3001, 5970)"
1501,-1,3624,1260,lattice_45_20250503_003016.csv,"[3001, 5970)"
1551,-1,4217,1426,lattice_1_20250502_233049.csv,"[3001, 5970)"
1229,-1,4983,1480,lattice_54_20250503_010047.csv,"[3001, 5970)"
1587,-1,3736,1090,lattice_82_20250503_020233.csv,"[3001, 5970)"
1438,-1,4697,1012,lattice_152_20250503_041407.csv,"[3001, 5970)"
525,-1,7234,1948,lattice_59_20250503_010033.csv,"[5970, 11880)"
485,-1,7071,1426,lattice_121_20250503_030846.csv,"[5970, 11880)"
1140,-1,6883,1604,lattice_118_20250503_031050.csv,"[5970, 11880)"
833,-1,9432,1474,lattice_1_20250502_233049.csv,"[5970, 11880)"
1176,-1,10144,2394,lattice_57_20250503_010127.csv,"[5970, 11880)"
1215,-1,7756,2206,lattice_83_20250503_020527.csv,"[5970, 11880)"
135,-1,8011,1988,lattice_133_20250503_034009.csv,"[5970, 11880)"
272,-1,8383,1404,lattice_58_20250503_010220.csv,"[5970, 11880)"
1153,-1,11382,2350,lattice_73_20250503_013255.csv,"[5970, 11880)"
1184,-1,7354,2216,lattice_94_20250503_020925.csv,"[5970, 11880)"
1516,-1,10727,1924,lattice_188_20250503_051821.csv,"[5970, 11880)"
302,-1,6149,1460,lattice_167_20250503_044344.csv,"[5970, 11880)"
52,-1,8093,1710,lattice_35_20250503_002824.csv,"[5970, 11880)"
498,-1,9912,2130,lattice_194_20250503_053313.csv,"[5970, 11880)"
1475,-1,6904,1480,lattice_165_20250503_044259.csv,"[5970, 11880)"
63,-1,7935,2132,lattice_71_20250503_013343.csv,"[5970, 11880)"
621,-1,8248,1926,lattice_113_20250503_030424.csv,"[5970, 11880)"
190,-1,10171,1800,lattice_94_20250503_020925.csv,"[5970, 11880)"
1000,-1,6890,2458,lattice_167_20250503_044344.csv,"[5970, 11880)"
1123,-1,7201,1672,lattice_149_20250503_041313.csv,"[5970, 11880)"
1200,-1,15550,2126,lattice_147_20250503_041048.csv,"[11880, 23637)"
1238,-1,12332,2466,lattice_35_20250503_002824.csv,"[11880, 23637)"
1439,-1,18381,3940,lattice_158_20250503_041743.csv,"[11880, 23637)"
470,-1,22749,4326,lattice_131_20250503_033859.csv,"[11880, 23637)"
1172,-1,21307,3756,lattice_56_20250503_010402.csv,"[11880, 23637)"
41,-1,15568,2682,lattice_142_20250503_034551.csv,"[11880, 23637)"
284,-1,19963,3294,lattice_101_20250503_023613.csv,"[11880, 23637)"
536,-1,14425,3006,lattice_77_20250503_013653.csv,"[11880, 23637)"
1590,-1,17843,3996,lattice_91_20250503_020635.csv,"[11880, 23637)"
1284,-1,14229,1998,lattice_198_20250503_053447.csv,"[11880, 23637)"
142,-1,13448,1952,lattice_7_20250502_233033.csv,"[11880, 23637)"
1389,-1,19425,2940,lattice_137_20250503_034159.csv,"[11880, 23637)"
