size_bin,slice_id,D_est
"[93575, 186182)",3,1.3029057688555394
"[93575, 186182)",4,1.2951894459308466
"[93575, 186182)",5,1.2878985163662775
"[93575, 186182)",6,1.281125165022399
"[93575, 186182)",7,1.2790363474132003
"[93575, 186182)",8,1.2778926410771505
"[93575, 186182)",9,1.280268343114293
"[93575, 186182)",10,1.2845032622801849
"[93575, 186182)",11,1.2912765147879155
"[93575, 186182)",12,1.2968852265577568
"[93575, 186182)",13,1.3003133247337222
"[93575, 186182)",14,1.3046156196533254
"[93575, 186182)",15,1.3069005215891731
"[93575, 186182)",16,1.3065064883368263
"[93575, 186182)",17,1.308753026715146
"[93575, 186182)",18,1.31022153915125
"[93575, 186182)",19,1.3102047687973748
"[93575, 186182)",20,1.3103386965677557
"[93575, 186182)",21,1.3108480656798394
"[93575, 186182)",22,1.3102056936461086
"[93575, 186182)",23,1.3106560401585206
"[93575, 186182)",24,1.3123816878872403
"[93575, 186182)",25,1.3145284575268918
"[93575, 186182)",26,1.3172732919845493
"[93575, 186182)",27,1.3201965186389486
"[93575, 186182)",28,1.3239878781420518
"[93575, 186182)",29,1.3261900447735475
