cloud_id,slice_id,area,perimeter
5,-1,11878,2448
5,0,62,54
5,1,172,92
5,2,268,130
5,3,404,196
5,4,596,260
5,5,754,336
5,6,886,378
5,7,1056,502
5,8,1470,686
5,9,2088,894
5,10,2900,1110
5,11,3944,1412
5,12,5164,1584
5,13,6570,1782
5,14,8110,1914
5,15,9702,2050
5,16,11188,2222
5,17,12884,2452
5,18,14756,2610
5,19,16484,2924
5,20,18182,3158
5,21,19632,3410
5,22,20880,3692
5,23,21864,3938
5,24,22656,4216
5,25,23178,4440
5,26,23582,4656
5,27,23698,4824
5,28,23730,4858
5,29,23756,4894
6,-1,4903,1410
6,0,114,104
6,1,460,358
6,2,894,458
6,3,1290,536
6,4,1646,648
6,5,1780,798
6,6,2014,870
6,7,2216,1014
6,8,2458,1120
6,9,2694,1210
6,10,3038,1316
6,11,3362,1416
6,12,3634,1450
6,13,3950,1510
6,14,4350,1574
6,15,4848,1656
6,16,5362,1726
6,17,5814,1776
6,18,6394,1868
6,19,7120,1960
6,20,7816,2036
6,21,8368,2158
6,22,8748,2246
6,23,9024,2320
6,24,9264,2398
6,25,9476,2522
6,26,9596,2608
6,27,9644,2652
6,28,9740,2746
6,29,9806,2812
7,-1,9823,2568
7,0,152,96
7,1,600,216
7,2,1206,276
7,3,1866,424
7,4,2496,538
7,5,3080,658
7,6,3586,772
7,7,4120,900
7,8,4770,1146
7,9,5410,1314
7,10,5954,1454
7,11,6404,1610
7,12,7006,1756
7,13,7778,1870
7,14,8510,1940
7,15,9084,2136
7,16,9810,2356
7,17,10674,2580
7,18,11806,2806
7,19,12914,3278
7,20,13462,3686
7,21,13950,3782
7,22,14596,3924
7,23,15486,4100
7,24,16574,4312
7,25,17780,4468
7,26,18900,4618
7,27,19414,4904
7,28,19584,5056
7,29,19646,5134
8,-1,14809,3892
8,0,130,84
8,1,252,204
8,2,452,336
8,3,726,464
8,4,968,636
8,5,1426,1052
8,6,2602,1486
8,7,4410,1822
8,8,6574,2022
8,9,8650,2184
8,10,10790,2366
8,11,12798,2656
8,12,14424,2938
8,13,15854,3226
8,14,17040,3480
8,15,17916,3702
8,16,18832,3874
8,17,19726,4190
8,18,20690,4480
8,19,21774,4734
8,20,23034,4964
8,21,24494,5326
8,22,25596,5984
8,23,26308,6292
8,24,27056,6540
8,25,27670,6748
8,26,28222,7044
8,27,28880,7306
8,28,29370,7446
8,29,29618,7770
9,-1,4091,1330
9,0,44,44
9,1,148,140
9,2,354,248
9,3,668,364
9,4,1038,482
9,5,1480,630
9,6,1920,738
9,7,2426,854
9,8,2942,998
9,9,3488,1156
9,10,4000,1282
