cloud_id,slice_id,area,perimeter
11,-1,9136,1484
11,0,38,42
11,1,216,140
11,2,426,272
11,3,806,472
11,4,1368,674
11,5,2096,910
11,6,2944,1054
11,7,3852,1156
11,8,4826,1228
11,9,5824,1340
11,10,6848,1464
11,11,7884,1544
11,12,8968,1590
11,13,10040,1646
11,14,11056,1678
11,15,12052,1712
11,16,13086,1762
11,17,14072,1960
11,18,15004,2096
11,19,15832,2236
11,20,16480,2390
11,21,16854,2476
11,22,17202,2556
11,23,17504,2608
11,24,17754,2672
11,25,17954,2710
11,26,18082,2792
11,27,18150,2844
11,28,18230,2892
11,29,18272,2962
12,-1,11664,2922
12,0,252,174
12,1,860,388
12,2,1520,510
12,3,2280,600
12,4,2828,786
12,5,3168,962
12,6,3624,1100
12,7,4152,1380
12,8,4786,1746
12,9,5420,2034
12,10,6240,2286
12,11,7346,2614
12,12,8628,2848
12,13,10110,2998
12,14,11484,3094
12,15,12802,3212
12,16,14276,3360
12,17,15700,3498
12,18,17076,3740
12,19,18330,3908
12,20,19356,4106
12,21,20266,4274
12,22,20812,4572
12,23,21268,4736
12,24,21624,4936
12,25,21950,5162
12,26,22352,5280
12,27,22874,5414
12,28,23134,5656
12,29,23328,5828
13,-1,13874,3406
13,0,82,126
13,1,450,462
13,2,1300,716
13,3,2534,906
13,4,3790,1056
13,5,4992,1252
13,6,6018,1438
13,7,6990,1570
13,8,7920,1766
13,9,8716,2070
13,10,9432,2376
13,11,10164,2840
13,12,11214,3312
13,13,12486,3488
13,14,13910,3578
13,15,15502,3706
13,16,17056,3858
13,17,18414,4228
13,18,19576,4518
13,19,20516,4770
13,20,21472,4870
13,21,22656,5062
13,22,23730,5264
13,23,24830,5508
13,24,25820,5846
13,25,26658,6216
13,26,27182,6430
13,27,27548,6626
13,28,27700,6754
13,29,27748,6808
14,-1,14690,3216
14,0,42,76
14,1,144,180
14,2,440,308
14,3,978,466
14,4,1724,756
14,5,2778,912
14,6,3818,1030
14,7,4786,1118
14,8,5730,1334
14,9,6446,1480
14,10,7198,1638
14,11,7874,1886
14,12,8908,2206
14,13,10358,2476
14,14,11842,2676
14,15,13386,2954
14,16,15076,3116
14,17,16690,3256
14,18,18234,3544
14,19,20108,3828
14,20,22176,4082
14,21,24180,4276
14,22,25770,4626
14,23,26798,5062
14,24,27504,5458
14,25,27986,5668
14,26,28592,5960
14,27,29026,6204
14,28,29280,6276
14,29,29380,6430
15,-1,31038,5334
15,0,328,302
15,1,1222,630
15,2,3614,1358
15,3,7896,1926
15,4,12278,2082
15,5,16812,2450
15,6,22110,2842
15,7,27088,3134
15,8,30696,3714
15,9,32936,3994
15,10,34746,4190
15,11,36554,4322
15,12,38392,4454
15,13,40124,4984
15,14,41882,5474
15,15,43128,5906
15,16,45448,6558
15,17,48426,7010
15,18,51474,7476
15,19,53162,8024
15,20,54388,8214
15,21,55516,8450
15,22,57092,8790
15,23,57808,9138
15,24,58228,9282
15,25,58820,9556
15,26,59290,9796
15,27,60154,10096
15,28,61356,10260
15,29,62076,10666
16,-1,3438,930
16,0,16,30
16,1,60,102
16,2,176,202
16,3,374,280
16,4,632,376
16,5,982,472
16,6,1428,574
16,7,1942,606
16,8,2390,686
16,9,2816,758
16,10,3200,820
16,11,3608,882
16,12,4018,978
16,13,4252,1054
16,14,4478,1080
16,15,4702,1116
16,16,4904,1176
16,17,5108,1212
16,18,5312,1248
16,19,5514,1278
16,20,5704,1300
16,21,5902,1330
16,22,6114,1370
16,23,6322,1414
16,24,6514,1482
16,25,6650,1572
16,26,6770,1674
16,27,6824,1762
16,28,6850,1820
16,29,6876,1850
17,-1,3636,1214
17,0,16,28
17,1,120,128
17,2,340,276
17,3,568,366
17,4,880,456
17,5,1218,506
17,6,1568,568
17,7,1990,626
17,8,2320,680
17,9,2646,722
17,10,2956,786
17,11,3188,834
17,12,3388,884
17,13,3646,920
17,14,3900,966
17,15,4154,994
17,16,4420,1058
17,17,4756,1140
17,18,5144,1278
17,19,5514,1464
17,20,5780,1684
17,21,6120,1798
17,22,6386,1870
17,23,6686,1968
17,24,6902,2086
17,25,7000,2154
17,26,7108,2250
17,27,7190,2318
17,28,7252,2392
17,29,7272,2424
18,-1,3113,782
18,0,18,26
18,1,46,44
18,2,142,134
18,3,276,206
18,4,472,266
18,5,724,328
18,6,1034,388
18,7,1356,416
18,8,1674,446
18,9,2014,492
18,10,2346,538
18,11,2732,600
18,12,3138,628
18,13,3430,644
18,14,3714,660
18,15,3988,692
18,16,4254,706
18,17,4506,730
18,18,4752,752
18,19,4984,804
18,20,5204,896
18,21,5442,966
18,22,5672,1030
18,23,5852,1122
18,24,5998,1242
18,25,6104,1340
18,26,6168,1428
