cloud_id,slice_id,area,perimeter
8,-1,35297,6474
8,0,388,312
8,1,1778,722
8,2,3022,960
8,3,3826,1120
8,4,4508,1378
8,5,5552,1842
8,6,7636,2554
8,7,10304,2966
8,8,13250,3286
8,9,14938,3766
8,10,16296,3936
8,11,18072,4290
8,12,20226,4852
8,13,22954,5554
8,14,26338,6238
8,15,30220,6554
8,16,34052,6862
8,17,37408,7216
8,18,40562,7462
8,19,44130,7842
8,20,48668,8520
8,21,54052,8798
8,22,58790,9534
8,23,62044,10342
8,24,64810,10928
8,25,66970,11572
8,26,68510,12104
8,27,69640,12458
8,28,70296,12714
8,29,70594,12946
9,-1,5587,1468
9,0,30,40
9,1,138,128
9,2,304,276
9,3,586,440
9,4,936,616
9,5,1392,760
9,6,1904,892
9,7,2450,958
9,8,3000,1032
9,9,3418,1076
9,10,3860,1122
9,11,4322,1176
9,12,4742,1298
9,13,5140,1428
9,14,5568,1556
9,15,6000,1678
9,16,6506,1886
9,17,7164,1944
9,18,7838,1978
9,19,8450,2102
9,20,9016,2240
9,21,9504,2310
9,22,9940,2376
9,23,10364,2454
9,24,10688,2570
9,25,10938,2668
9,26,11054,2760
9,27,11136,2852
9,28,11156,2892
9,29,11174,2932
10,-1,12612,2748
10,0,26,44
10,1,220,140
10,2,550,364
10,3,1060,538
10,4,1552,712
10,5,2278,936
10,6,2940,1118
10,7,3758,1312
10,8,5020,1596
10,9,6444,1694
10,10,7862,1756
10,11,9262,1806
10,12,10578,2040
10,13,11524,2468
10,14,12662,2818
10,15,13906,2998
10,16,15224,3112
10,17,16516,3244
10,18,17582,3402
10,19,18654,3584
10,20,19758,3912
10,21,20746,4218
10,22,21658,4380
10,23,22560,4504
10,24,23388,4642
10,25,24228,4864
10,26,24852,5094
10,27,25134,5358
10,28,25192,5456
10,29,25224,5494
11,-1,8824,1718
11,0,112,108
11,1,428,286
11,2,874,436
11,3,1370,476
11,4,1900,528
11,5,2590,608
11,6,3426,714
11,7,4164,798
11,8,4956,938
11,9,5798,1058
11,10,6722,1208
11,11,7542,1312
11,12,8368,1396
11,13,9188,1510
11,14,9982,1590
11,15,10822,1658
11,16,11676,1778
11,17,12536,1940
11,18,13446,2128
11,19,14352,2334
11,20,15060,2546
11,21,15670,2694
11,22,16210,2870
11,23,16702,2958
11,24,17068,3042
11,25,17298,3148
11,26,17388,3206
11,27,17494,3258
11,28,17592,3340
11,29,17648,3426
12,-1,3157,1060
12,0,26,46
12,1,110,88
12,2,282,172
12,3,450,228
12,4,590,264
12,5,808,360
12,6,1154,412
12,7,1572,490
12,8,2054,608
12,9,2554,776
12,10,2998,936
12,11,3356,1022
12,12,3758,1052
12,13,4134,1102
12,14,4390,1210
12,15,4572,1262
12,16,4792,1342
12,17,5044,1380
12,18,5284,1444
12,19,5452,1540
12,20,5564,1586
12,21,5684,1626
12,22,5786,1716
12,23,5882,1792
12,24,5978,1864
12,25,6076,1924
12,26,6138,1974
12,27,6210,2026
12,28,6270,2070
12,29,6314,2114
13,-1,9612,2168
13,0,40,44
13,1,132,144
13,2,388,386
13,3,928,618
13,4,1672,774
13,5,2592,960
13,6,3578,1072
13,7,4576,1126
13,8,5662,1184
13,9,6598,1288
13,10,7426,1466
13,11,8100,1602
13,12,8696,1690
13,13,9430,1896
13,14,10226,2084
13,15,10950,2280
13,16,11706,2404
13,17,12332,2508
13,18,12932,2560
13,19,13618,2652
13,20,14246,2776
13,21,14990,2840
13,22,15828,2930
13,23,16662,3058
13,24,17464,3204
13,25,18196,3468
13,26,18680,3826
13,27,18986,4096
13,28,19154,4242
13,29,19224,4332
14,-1,35211,5812
14,0,368,260
14,1,1496,560
14,2,2910,782
14,3,4522,1080
14,4,6464,1450
14,5,8912,2254
14,6,11888,2712
14,7,15286,3030
14,8,18466,3274
14,9,21536,3442
14,10,24624,3856
14,11,27318,4352
14,12,29448,4900
14,13,31696,5306
14,14,34040,5416
14,15,36450,5518
14,16,38920,5814
14,17,41238,6214
14,18,43304,6718
14,19,45300,7176
14,20,47342,7926
14,21,49968,8630
14,22,53198,9122
14,23,57110,9472
14,24,61226,9662
14,25,64632,10080
14,26,67304,10512
14,27,69218,11042
14,28,70174,11496
14,29,70422,11622
15,-1,3857,1076
15,0,44,60
15,1,174,112
15,2,414,186
15,3,706,252
15,4,1096,338
15,5,1630,526
15,6,2300,596
15,7,2786,636
15,8,3242,698
15,9,3686,768
15,10,4112,898
15,11,4476,996
15,12,4822,1090
15,13,5172,1164
15,14,5526,1254
15,15,5834,1356
15,16,6032,1436
15,17,6156,1494
15,18,6238,1544
15,19,6360,1634
15,20,6492,1712
15,21,6644,1736
15,22,6810,1772
15,23,7006,1836
15,24,7226,1874
15,25,7356,1942
15,26,7446,1986
15,27,7546,2044
15,28,7688,2104
15,29,7714,2150
16,-1,6095,1384
16,0,50,60
16,1,152,114
16,2,290,146
16,3,424,182
16,4,550,218
16,5,708,276
16,6,968,356
16,7,1312,460
16,8,1742,564
16,9,2276,658
16,10,2880,710
16,11,3500,750
16,12,4140,828
16,13,4856,986
16,14,5624,1102
16,15,6404,1204
16,16,7134,1274
16,17,7808,1366
16,18,8440,1460
16,19,8978,1628
16,20,9394,1724
16,21,9778,1842
16,22,10196,1938
16,23,10594,2080
16,24,11012,2188
16,25,11384,2294
16,26,11708,2416
16,27,11994,2570
16,28,12164,2724
16,29,12190,2764
17,-1,3383,1378
17,0,44,50
17,1,148,140
17,2,348,262
17,3,608,374
17,4,898,452
17,5,1184,476
17,6,1462,516
17,7,1774,550
17,8,2092,596
17,9,2440,668
17,10,2836,766
17,11,3280,880
17,12,3722,978
17,13,4138,1098
17,14,4494,1224
17,15,4834,1356
17,16,5152,1466
17,17,5404,1684
17,18,5682,1874
17,19,5948,2040
17,20,6152,2184
17,21,6264,2298
17,22,6398,2372
17,23,6518,2438
17,24,6610,2522
17,25,6646,2580
17,26,6680,2624
17,27,6726,2676
17,28,6752,2724
17,29,6766,2754
18,-1,3038,832
18,0,66,84
18,1,236,176
18,2,496,258
18,3,736,318
18,4,970,354
18,5,1168,394
18,6,1380,438
18,7,1686,512
18,8,2002,554
18,9,2314,606
18,10,2658,682
18,11,3036,724
18,12,3366,816
18,13,3660,926
18,14,3884,978
18,15,4134,1004
18,16,4366,1060
18,17,4544,1112
18,18,4666,1162
18,19,4786,1210
18,20,4894,1258
18,21,5026,1322
18,22,5178,1360
18,23,5360,1416
18,24,5566,1444
18,25,5754,1462
18,26,5906,1518
18,27,6024,1570
18,28,6072,1644
18,29,6076,1662
19,-1,3172,916
19,0,14,26
19,1,100,150
19,2,268,308
19,3,460,442
19,4,748,570
19,5,1078,688
19,6,1440,768
19,7,1846,832
19,8,2270,874
19,9,2674,904
19,10,3086,930
