cloud_id,slice_id,area,perimeter
6,-1,67990,5982
6,0,466,350
6,1,1762,610
6,2,2996,850
6,3,4226,1034
6,4,6528,1582
6,5,9930,2220
6,6,13512,2768
6,7,17352,3282
6,8,22038,3608
6,9,26554,3770
6,10,31238,3968
6,11,35878,4612
6,12,41512,5050
6,13,47540,5590
6,14,54182,6168
6,15,61646,6374
6,16,69336,6554
6,17,76726,6838
6,18,84238,7134
6,19,91836,7410
6,20,99158,7620
6,21,106416,7872
6,22,113642,8042
6,23,120592,8508
6,24,125964,9122
6,25,130086,10082
6,26,132640,10848
6,27,134552,11172
6,28,135630,11688
6,29,135980,11962
7,-1,3970,964
7,0,42,42
7,1,106,100
7,2,234,188
7,3,432,236
7,4,696,292
7,5,1002,340
7,6,1288,396
7,7,1526,430
7,8,1746,494
7,9,2030,580
7,10,2410,690
7,11,2842,768
7,12,3270,888
7,13,3754,1004
7,14,4246,1080
7,15,4798,1138
7,16,5288,1252
7,17,5756,1376
7,18,6184,1462
7,19,6576,1494
7,20,6914,1564
7,21,7180,1620
7,22,7414,1670
7,23,7556,1690
7,24,7692,1704
7,25,7802,1752
7,26,7876,1810
7,27,7916,1870
7,28,7934,1904
7,29,7940,1926
8,-1,16260,2348
8,0,116,154
8,1,474,238
8,2,1024,334
8,3,1652,464
8,4,2312,558
8,5,3136,764
8,6,4040,996
8,7,5044,1234
8,8,6312,1416
8,9,7732,1518
8,10,8902,1626
8,11,10086,1740
8,12,11376,1938
8,13,12858,2042
8,14,14480,2116
8,15,16260,2234
8,16,18028,2386
8,17,19486,2538
8,18,20854,2648
8,19,22410,2816
8,20,24124,2928
8,21,25862,3100
8,22,27090,3478
8,23,28242,3718
8,24,29434,3942
8,25,30488,4032
8,26,31414,4206
8,27,32082,4418
8,28,32404,4596
8,29,32520,4686
9,-1,3593,1138
9,0,28,36
9,1,94,96
9,2,184,148
9,3,286,206
9,4,516,314
9,5,850,384
9,6,1214,438
9,7,1584,496
9,8,2006,568
9,9,2346,678
9,10,2578,760
9,11,2866,828
9,12,3176,882
9,13,3442,974
9,14,3830,1114
9,15,4280,1254
9,16,4732,1402
9,17,5164,1532
9,18,5490,1620
9,19,5756,1702
9,20,5992,1812
9,21,6176,1874
9,22,6354,1946
9,23,6564,2002
9,24,6750,2036
9,25,6874,2074
9,26,6962,2122
9,27,7054,2168
9,28,7156,2220
9,29,7186,2272
10,-1,24372,5256
10,0,442,304
10,1,1524,606
10,2,2650,806
10,3,3440,1064
10,4,4798,1278
10,5,6186,1416
10,6,7716,1764
10,7,9134,2282
10,8,11502,2940
10,9,14642,3546
10,10,18200,4216
10,11,21802,4670
10,12,25630,4916
10,13,29112,5656
10,14,31718,6114
10,15,33990,6464
10,16,36094,6782
10,17,38378,7124
10,18,40498,7452
10,19,41950,7904
10,20,42972,8372
10,21,43780,8712
10,22,44560,9056
10,23,45044,9292
10,24,45604,9442
10,25,46244,9638
10,26,47010,9788
10,27,47734,10034
10,28,48470,10276
10,29,48744,10510
11,-1,3680,1020
11,0,10,18
11,1,66,64
11,2,128,122
11,3,228,224
11,4,372,314
11,5,538,400
11,6,758,470
11,7,1032,504
11,8,1284,546
11,9,1538,622
11,10,1832,650
11,11,2132,686
11,12,2458,728
11,13,2830,798
11,14,3272,912
11,15,3682,978
11,16,4048,1044
11,17,4420,1134
11,18,4870,1176
11,19,5334,1204
11,20,5762,1248
11,21,6172,1346
11,22,6508,1456
11,23,6762,1564
11,24,6968,1734
11,25,7156,1866
11,26,7252,1936
11,27,7310,1984
11,28,7346,2014
11,29,7360,2038
12,-1,7531,1672
12,0,88,90
12,1,260,134
12,2,482,182
12,3,754,248
12,4,1066,360
12,5,1500,614
12,6,2322,938
12,7,3366,1100
12,8,4276,1240
12,9,5174,1388
12,10,6122,1476
12,11,7024,1582
12,12,7868,1712
12,13,8668,1828
12,14,9426,1936
12,15,10026,2026
12,16,10538,2140
12,17,11068,2208
12,18,11546,2256
12,19,12038,2346
12,20,12554,2480
12,21,13074,2626
12,22,13604,2744
12,23,14108,2900
12,24,14504,2988
12,25,14788,3072
12,26,14952,3200
12,27,15016,3278
12,28,15044,3304
12,29,15062,3342
13,-1,43763,8028
13,0,320,156
13,1,960,364
13,2,1442,646
13,3,2498,1122
13,4,4384,1612
13,5,6974,2138
13,6,10252,2588
13,7,14412,3228
13,8,18472,3972
13,9,22538,4530
13,10,26962,5274
13,11,30650,5850
13,12,34492,6402
13,13,38266,6920
13,14,42912,7314
13,15,48284,7962
13,16,53768,8724
13,17,59546,9366
13,18,64850,10332
13,19,69524,10872
13,20,73340,11346
13,21,76476,12236
13,22,78862,12852
13,23,80420,13562
13,24,82742,14232
13,25,84624,14854
13,26,86028,15276
13,27,86990,15678
13,28,87240,15898
13,29,87526,16052
14,-1,5378,1414
14,0,44,52
14,1,142,122
14,2,308,194
14,3,584,352
14,4,916,504
14,5,1352,674
14,6,1780,824
14,7,2196,874
14,8,2602,934
14,9,2906,978
14,10,3178,1026
14,11,3438,1060
14,12,3726,1126
14,13,4090,1252
14,14,4564,1414
14,15,5120,1536
14,16,5748,1630
14,17,6384,1694
14,18,7078,1764
14,19,7722,1850
14,20,8228,1986
14,21,8592,2092
14,22,8900,2156
14,23,9220,2230
14,24,9618,2324
14,25,10048,2364
14,26,10362,2532
14,27,10572,2682
14,28,10704,2780
14,29,10756,2822
15,-1,3344,990
15,0,52,90
15,1,298,222
15,2,540,396
15,3,798,498
15,4,1126,584
15,5,1436,698
15,6,1786,776
15,7,2136,858
15,8,2500,958
15,9,2918,1070
15,10,3382,1148
15,11,3836,1202
15,12,4188,1218
15,13,4534,1236
15,14,4878,1266
15,15,5184,1328
15,16,5438,1388
15,17,5680,1414
15,18,5896,1442
15,19,6066,1486
15,20,6208,1514
15,21,6316,1556
15,22,6380,1614
15,23,6414,1654
15,24,6434,1692
15,25,6464,1716
15,26,6494,1738
15,27,6536,1820
15,28,6642,1888
15,29,6688,1972
16,-1,4424,1404
16,0,28,28
16,1,78,56
16,2,190,130
16,3,412,256
16,4,746,488
16,5,1106,632
16,6,1444,782
16,7,1860,938
16,8,2374,1116
16,9,2870,1236
16,10,3348,1324
16,11,3830,1384
16,12,4304,1466
16,13,4826,1504
16,14,5348,1562
16,15,5850,1620
16,16,6386,1702
16,17,6866,1746
16,18,7312,1874
16,19,7762,1990
16,20,8122,2126
16,21,8300,2324
16,22,8400,2450
16,23,8470,2556
16,24,8552,2600
16,25,8658,2640
16,26,8730,2690
16,27,8814,2736
16,28,8834,2782
16,29,8848,2804
17,-1,12029,2320
17,0,46,44
17,1,146,152
17,2,374,364
17,3,856,664
17,4,1398,908
17,5,2466,1248
17,6,3856,1526
17,7,5268,1906
17,8,6680,2254
17,9,8058,2482
17,10,9466,2578
17,11,10836,2674
17,12,11934,2774
17,13,12998,2998
17,14,13960,3180
17,15,14818,3278
17,16,15672,3318
17,17,16544,3358
17,18,17416,3426
17,19,18340,3524
17,20,19312,3608
17,21,20216,3694
17,22,20976,3836
17,23,21682,3954
17,24,22338,4076
17,25,22908,4176
17,26,23390,4282
17,27,23786,4400
17,28,24000,4530
17,29,24058,4632
18,-1,3351,1298
18,0,48,54
18,1,152,118
18,2,266,180
18,3,396,298
18,4,594,380
18,5,812,460
18,6,1080,528
18,7,1360,552
18,8,1702,650
18,9,2006,814
18,10,2310,978
18,11,2660,1134
18,12,3014,1252
18,13,3376,1336
18,14,3766,1472
18,15,4212,1564
18,16,4698,1618
18,17,5170,1730
18,18,5590,1858
18,19,5916,2050
18,20,6202,2192
18,21,6370,2314
18,22,6470,2374
18,23,6518,2412
18,24,6556,2444
18,25,6598,2476
18,26,6642,2512
18,27,6682,2552
18,28,6690,2574
18,29,6702,2590
19,-1,38794,5906
19,0,246,296
19,1,1182,736
19,2,2410,932
19,3,3844,1052
19,4,5568,1276
19,5,7306,1470
19,6,8990,1744
19,7,11212,2192
19,8,14252,2978
19,9,18048,3508
19,10,22478,4026
19,11,27298,4718
19,12,31264,5156
19,13,35174,5738
19,14,38986,6108
19,15,42932,6468
19,16,46776,6904
19,17,50240,7222
19,18,53324,7482
19,19,56070,7676
19,20,59256,8026
19,21,62024,8572
19,22,65342,8900
19,23,68434,9188
19,24,71582,9408
19,25,74298,9796
19,26,75896,10542
19,27,76722,11192
19,28,77386,11602
19,29,77588,11810
20,-1,4016,1148
20,0,28,24
20,1,120,126
20,2,338,242
20,3,652,342
20,4,1006,512
20,5,1446,684
20,6,1914,832
20,7,2384,954
20,8,2866,1028
20,9,3350,1090
20,10,3840,1138
20,11,4300,1194
20,12,4726,1234
20,13,5134,1260
20,14,5536,1308
20,15,5922,1402
20,16,6178,1478
20,17,6454,1546
20,18,6726,1606
20,19,6984,1656
20,20,7216,1738
20,21,7404,1822
20,22,7580,1924
20,23,7718,2028
20,24,7818,2114
20,25,7874,2178
20,26,7928,2202
20,27,7978,2226
20,28,8020,2264
20,29,8032,2294
21,-1,5668,1200
21,0,100,96
