cloud_id,slice_id,area,perimeter
10,-1,7879,1670
10,0,70,84
10,1,376,304
10,2,732,482
10,3,1136,630
10,4,1542,766
10,5,2036,840
10,6,2628,974
10,7,3300,1102
10,8,4076,1234
10,9,4938,1362
10,10,5868,1460
10,11,6850,1522
10,12,7850,1556
10,13,8882,1610
10,14,9938,1718
10,15,10916,1896
10,16,11742,2058
10,17,12362,2172
10,18,12996,2202
10,19,13564,2332
10,20,13970,2534
10,21,14250,2612
10,22,14502,2674
10,23,14746,2752
10,24,15004,2818
10,25,15284,2930
10,26,15464,3058
10,27,15636,3168
10,28,15734,3284
10,29,15758,3334
11,-1,3186,1118
11,0,42,62
11,1,216,186
11,2,390,282
11,3,464,374
11,4,558,418
11,5,690,460
11,6,806,514
11,7,870,618
11,8,958,670
11,9,1056,776
11,10,1178,868
11,11,1236,924
11,12,1338,996
11,13,1530,1092
11,14,1748,1162
11,15,2050,1222
11,16,2392,1354
11,17,2794,1428
11,18,3202,1478
11,19,3674,1548
11,20,4196,1594
11,21,4724,1674
11,22,5180,1708
11,23,5620,1748
11,24,5920,1914
11,25,6076,2036
11,26,6162,2058
11,27,6270,2104
11,28,6326,2166
11,29,6372,2232
12,-1,3173,1144
12,0,36,44
12,1,112,98
12,2,222,146
12,3,398,286
12,4,638,418
12,5,1008,600
12,6,1434,742
12,7,1874,884
12,8,2416,1034
12,9,2964,1134
12,10,3296,1200
12,11,3596,1252
12,12,3880,1300
12,13,4152,1356
12,14,4422,1444
12,15,4660,1498
12,16,4866,1538
12,17,5064,1584
12,18,5258,1624
12,19,5454,1676
12,20,5626,1752
12,21,5794,1818
12,22,5976,1880
12,23,6090,1966
12,24,6140,2048
12,25,6174,2098
12,26,6236,2142
12,27,6294,2200
12,28,6330,2254
12,29,6346,2284
13,-1,7184,1464
13,0,70,68
13,1,208,164
13,2,282,204
13,3,376,262
13,4,518,302
13,5,660,372
13,6,844,454
13,7,1064,516
13,8,1320,562
13,9,1632,634
13,10,2060,784
13,11,2638,970
13,12,3354,1160
13,13,4230,1276
13,14,5166,1354
13,15,6042,1434
13,16,6890,1500
13,17,7698,1554
13,18,8458,1618
13,19,9210,1660
13,20,10014,1748
13,21,10834,1832
13,22,11646,1914
13,23,12404,2046
13,24,13092,2192
13,25,13592,2386
13,26,13914,2578
13,27,14228,2714
13,28,14336,2868
13,29,14368,2926
14,-1,5558,1974
14,0,20,38
14,1,70,88
14,2,118,124
14,3,340,272
14,4,688,496
14,5,1024,876
14,6,1462,1184
14,7,1932,1492
14,8,2530,1668
14,9,3074,1826
14,10,3682,1944
14,11,4262,2060
14,12,4832,2160
14,13,5374,2268
14,14,5908,2382
14,15,6426,2466
14,16,6988,2570
14,17,7516,2724
14,18,8046,2850
14,19,8552,2974
14,20,9066,3074
14,21,9606,3134
14,22,10116,3236
14,23,10474,3426
14,24,10672,3624
14,25,10800,3710
14,26,10918,3790
14,27,11024,3840
14,28,11090,3906
14,29,11116,3944
15,-1,9415,1798
15,0,50,40
15,1,130,80
15,2,202,126
15,3,398,258
15,4,696,328
15,5,1070,432
15,6,1462,498
15,7,1912,600
15,8,2508,770
15,9,3222,914
15,10,4048,1056
15,11,4940,1208
15,12,5846,1362
15,13,6802,1476
15,14,7730,1578
15,15,8650,1736
15,16,9668,1850
15,17,10718,1914
15,18,11770,1996
15,19,12864,2136
15,20,13884,2294
15,21,14836,2452
15,22,15764,2592
15,23,16704,2762
15,24,17444,2960
15,25,17980,3110
15,26,18316,3256
15,27,18552,3344
15,28,18742,3492
15,29,18830,3588
16,-1,30882,4310
16,0,478,472
16,1,1638,986
16,2,3412,1354
16,3,5546,1758
16,4,8300,2292
16,5,11386,2740
16,6,14366,2912
16,7,17480,3112
16,8,20864,3242
16,9,24022,3498
16,10,26802,3770
16,11,29538,3894
16,12,32396,4074
16,13,35106,4256
16,14,37224,4542
16,15,39488,4900
16,16,41842,5082
