bucket,slice_frac,D_true,D_mirror,delta_D
1000-2000,0.0198989898989899,1.2636338623922136,-0.6672050037250695,-1.9308388661172833
1000-2000,0.029797979797979796,1.2636338623922136,0.8863266134053037,-0.3773072489869099
1000-2000,0.039696969696969696,1.2636338623922136,1.1476108800748837,-0.11602298231732999
1000-2000,0.049595959595959596,1.2636338623922136,1.234595043097897,-0.02903881929431673
1000-2000,0.059494949494949496,1.2636338623922136,1.2499027535068266,-0.013731108885387089
1000-2000,0.06939393939393938,1.2636338623922136,1.2477207503970686,-0.015913111995145002
1000-2000,0.07929292929292929,1.2636338623922136,1.2448489488297845,-0.018784913562429173
1000-2000,0.08919191919191918,1.2636338623922136,1.2423776797033674,-0.021256182688846215
1000-2000,0.09909090909090908,1.2636338623922136,1.2360334662872514,-0.027600396104962233
1000-2000,0.10898989898989898,1.2636338623922136,1.2386249722156562,-0.025008890176557497
1000-2000,0.11888888888888888,1.2636338623922136,1.2339889621141944,-0.02964490027801925
1000-2000,0.12878787878787878,1.2636338623922136,1.2329200105566493,-0.0307138518355643
1000-2000,0.1386868686868687,1.2636338623922136,1.2334752670573537,-0.030158595334859983
1000-2000,0.1485858585858586,1.2636338623922136,1.2317865756293371,-0.031847286762876514
1000-2000,0.15848484848484848,1.2636338623922136,1.2336649498567342,-0.029968912535479397
1000-2000,0.16838383838383839,1.2636338623922136,1.232990836453845,-0.03064302593836854
1000-2000,0.1782828282828283,1.2636338623922136,1.2271742471044615,-0.0364596152877521
1000-2000,0.18818181818181817,1.2636338623922136,1.2284706412721644,-0.035163221120049215
1000-2000,0.19808080808080808,1.2636338623922136,1.2204585086420645,-0.04317535375014914
1000-2000,0.207979797979798,1.2636338623922136,1.2191223986324986,-0.04451146375971504
1000-2000,0.21787878787878787,1.2636338623922136,1.218916330350577,-0.04471753204163664
1000-2000,0.22777777777777777,1.2636338623922136,1.2136844771332338,-0.04994938525897985
1000-2000,0.23767676767676768,1.2636338623922136,1.209240192985148,-0.05439366940706569
1000-2000,0.24757575757575756,1.2636338623922136,1.201100148898899,-0.0625337134933146
1000-2000,0.25747474747474747,1.2636338623922136,1.2005147675035748,-0.06311909488863887
1000-2000,0.2673737373737374,1.2636338623922136,1.1959285038710343,-0.06770535852117932
1000-2000,0.2772727272727273,1.2636338623922136,1.1885523629280188,-0.07508149946419485
1000-2000,0.2871717171717172,1.2636338623922136,1.1857068401261115,-0.07792702226610215
1000-2000,0.29707070707070704,1.2636338623922136,1.1714701133234424,-0.09216374906877123
1000-2000,0.30696969696969695,1.2636338623922136,1.165998026003022,-0.0976358363891916
1000-2000,0.31686868686868686,1.2636338623922136,1.1541453410633524,-0.10948852132886122
1000-2000,0.32676767676767676,1.2636338623922136,1.151201723240247,-0.1124321391519667
1000-2000,0.33666666666666667,1.2636338623922136,1.1371219733559537,-0.12651188903625998
1000-2000,0.3465656565656566,1.2636338623922136,1.1229827235000704,-0.1406511388921432
1000-2000,0.3564646464646465,1.2636338623922136,1.1127671775771493,-0.15086668481506438
1000-2000,0.36636363636363634,1.2636338623922136,1.1011714424926702,-0.16246241989954346
1000-2000,0.37626262626262624,1.2636338623922136,1.0954622304957993,-0.16817163189641438
1000-2000,0.38616161616161615,1.2636338623922136,1.0815888257779267,-0.18204503661428695
1000-2000,0.39606060606060606,1.2636338623922136,1.0757107672791206,-0.18792309511309302
1000-2000,0.40595959595959596,1.2636338623922136,1.0637790813003511,-0.1998547810918625
1000-2000,0.41585858585858587,1.2636338623922136,1.053804342310204,-0.20982952008200972
1000-2000,0.4257575757575757,1.2636338623922136,1.048340450265455,-0.21529341212675868
1000-2000,0.43565656565656563,1.2636338623922136,1.0396721044567498,-0.2239617579354638
1000-2000,0.44555555555555554,1.2636338623922136,1.030514116076133,-0.23311974631608057
1000-2000,0.45545454545454545,1.2636338623922136,1.0195656706364957,-0.24406819175571792
1000-2000,0.46535353535353535,1.2636338623922136,1.014851888865699,-0.24878197352651465
1000-2000,0.47525252525252526,1.2636338623922136,1.006946347478911,-0.25668751491330255
1000-2000,0.4851515151515151,1.2636338623922136,0.998872888952725,-0.2647609734394887
1000-2000,0.495050505050505,1.2636338623922136,0.9842735678988687,-0.279360294493345
1000-2000,0.5049494949494949,1.2636338623922136,0.9935284206742584,-0.27010544171795525
1000-2000,0.5148484848484849,1.2636338623922136,0.979101729556009,-0.2845321328362046
1000-2000,0.5247474747474747,1.2636338623922136,0.9716786378657419,-0.2919552245264717
1000-2000,0.5346464646464646,1.2636338623922136,0.9686501584069822,-0.29498370398523144
1000-2000,0.5445454545454546,1.2636338623922136,0.96707595669992,-0.2965579056922937
1000-2000,0.5544444444444444,1.2636338623922136,0.9604316672709802,-0.3032021951212335
1000-2000,0.5643434343434344,1.2636338623922136,0.9585667506409815,-0.30506711175123213
1000-2000,0.5742424242424242,1.2636338623922136,0.9547019867315246,-0.308931875660689
1000-2000,0.5841414141414141,1.2636338623922136,0.9579940833279982,-0.30563977906421547
1000-2000,0.594040404040404,1.2636338623922136,0.9547321484127833,-0.30890171397943034
1000-2000,0.6039393939393939,1.2636338623922136,0.9559785305784079,-0.3076553318138058
1000-2000,0.6138383838383838,1.2636338623922136,0.9581184622097523,-0.30551540018246137
1000-2000,0.6237373737373737,1.2636338623922136,0.9594678537121425,-0.30416600868007115
1000-2000,0.6336363636363637,1.2636338623922136,0.9650250194027037,-0.29860884298950996
1000-2000,0.6435353535353535,1.2636338623922136,0.9664255673433539,-0.2972082950488597
1000-2000,0.6534343434343434,1.2636338623922136,0.9730408997192463,-0.2905929626729673
1000-2000,0.6633333333333333,1.2636338623922136,0.9762183190326131,-0.2874155433596005
1000-2000,0.6732323232323232,1.2636338623922136,0.9814067574481934,-0.28222710494402026
1000-2000,0.6831313131313131,1.2636338623922136,0.9883221095226401,-0.27531175286957354
1000-2000,0.693030303030303,1.2636338623922136,0.9947484242440732,-0.2688854381481405
