bucket,slice_frac,D_true,D_mirror,delta_D
1000-5000,0.0129987987987988,1.328431526583791,3.273087310142639,1.944655783558848
1000-5000,0.0139986986986987,1.328431526583791,0.5831832943587124,-0.7452482322250785
1000-5000,0.0149985985985986,1.328431526583791,0.9504865572718151,-0.37794496931197585
1000-5000,0.0159984984984985,1.328431526583791,0.9259445716451168,-0.40248695493867415
1000-5000,0.0169983983983984,1.328431526583791,1.2322101583874108,-0.09622136819638016
1000-5000,0.0179982982982983,1.328431526583791,1.5352924278728663,0.20686090128907542
1000-5000,0.0189981981981982,1.328431526583791,1.2709184219233054,-0.05751310466048554
1000-5000,0.019998098098098098,1.328431526583791,1.2407837422717658,-0.08764778431202513
1000-5000,0.020997997997997998,1.328431526583791,1.340014948512613,0.011583421928822002
1000-5000,0.021997897897897897,1.328431526583791,1.0988096284601265,-0.2296218981236644
1000-5000,0.022997797797797797,1.328431526583791,1.1099180620384785,-0.2185134645453124
1000-5000,0.023997697697697697,1.328431526583791,1.1123245006365758,-0.2161070259472151
1000-5000,0.0249975975975976,1.328431526583791,1.1187987530576207,-0.20963277352617027
1000-5000,0.0259974974974975,1.328431526583791,1.112564221134837,-0.21586730544895394
1000-5000,0.0269973973973974,1.328431526583791,1.1400711694291474,-0.1883603571546435
1000-5000,0.0279972972972973,1.328431526583791,1.1573550574281255,-0.17107646915566543
1000-5000,0.0289971971971972,1.328431526583791,1.186541742905481,-0.14188978367830996
1000-5000,0.029997097097097098,1.328431526583791,1.1970923515994794,-0.13133917498431158
1000-5000,0.030996996996996998,1.328431526583791,1.2255436488509888,-0.10288787773280217
1000-5000,0.031996896896896894,1.328431526583791,1.2274580458786606,-0.10097348070513035
1000-5000,0.0329967967967968,1.328431526583791,1.2284109573558453,-0.10002056922794567
1000-5000,0.0339966966966967,1.328431526583791,1.2344819684769084,-0.09394955810688255
1000-5000,0.034996596596596596,1.328431526583791,1.233665939592362,-0.09476558699142901
1000-5000,0.0359964964964965,1.328431526583791,1.2484861927036197,-0.07994533388017122
1000-5000,0.036996396396396396,1.328431526583791,1.2519063730825926,-0.07652515350119837
1000-5000,0.0379962962962963,1.328431526583791,1.262359041333525,-0.06607248525026588
1000-5000,0.038996196196196195,1.328431526583791,1.2662956846784896,-0.0621358419053013
1000-5000,0.0399960960960961,1.328431526583791,1.2785125400132595,-0.0499189865705314
1000-5000,0.040995995995995994,1.328431526583791,1.2942358938175418,-0.03419563276624915
1000-5000,0.0419958958958959,1.328431526583791,1.2965125479883235,-0.03191897859546744
1000-5000,0.042995795795795794,1.328431526583791,1.2985066384311919,-0.029924888152599083
1000-5000,0.0439956956956957,1.328431526583791,1.3046505598458153,-0.023780966737975584
1000-5000,0.04499559559559559,1.328431526583791,1.308805797630087,-0.019625728953703847
1000-5000,0.045995495495495496,1.328431526583791,1.3110708108256919,-0.017360715758099055
1000-5000,0.04699539539539539,1.328431526583791,1.3131438953181591,-0.015287631265631818
1000-5000,0.047995295295295295,1.328431526583791,1.3172718377055805,-0.011159688878210394
1000-5000,0.0489951951951952,1.328431526583791,1.319016974084973,-0.00941455249881784
1000-5000,0.049995095095095095,1.328431526583791,1.3189389871399533,-0.009492539443837655
1000-5000,0.050994994994995,1.328431526583791,1.3197691252049033,-0.00866240137888763
1000-5000,0.051994894894894894,1.328431526583791,1.322503302957829,-0.005928223625961904
1000-5000,0.0529947947947948,1.328431526583791,1.3239663133480264,-0.004465213235764542
1000-5000,0.05399469469469469,1.328431526583791,1.323513256627443,-0.00491826995634792
1000-5000,0.0549945945945946,1.328431526583791,1.3218476522384148,-0.006583874345376106
1000-5000,0.05599449449449449,1.328431526583791,1.3251173035374373,-0.003314223046353648
1000-5000,0.056994394394394396,1.328431526583791,1.3249370318591067,-0.003494494724684216
1000-5000,0.05799429429429429,1.328431526583791,1.3250457510016906,-0.003385775582100292
1000-5000,0.058994194194194195,1.328431526583791,1.3280244343180416,-0.00040709226574930923
1000-5000,0.05999409409409409,1.328431526583791,1.3274089566692833,-0.001022569914507665
1000-5000,0.060993993993993995,1.328431526583791,1.326462363195601,-0.001969163388189976
1000-5000,0.06199389389389389,1.328431526583791,1.3270389236850264,-0.0013926028987645278
1000-5000,0.06299379379379379,1.328431526583791,1.3275388460301123,-0.0008926805536786375
1000-5000,0.06399369369369369,1.328431526583791,1.3274683853804146,-0.000963141203376372
1000-5000,0.0649935935935936,1.328431526583791,1.3258039676409492,-0.0026275589428417234
1000-5000,0.0659934934934935,1.328431526583791,1.3265218728300798,-0.0019096537537111047
1000-5000,0.0669933933933934,1.328431526583791,1.3267814423467588,-0.0016500842370321678
1000-5000,0.06799329329329329,1.328431526583791,1.326344865088371,-0.002086661495420028
1000-5000,0.06899319319319319,1.328431526583791,1.326788785347439,-0.0016427412363519966
1000-5000,0.0699930930930931,1.328431526583791,1.326231129289468,-0.0022003972943229755
1000-5000,0.070992992992993,1.328431526583791,1.3258055018859027,-0.0026260246978881963
1000-5000,0.07199289289289289,1.328431526583791,1.32711900753413,-0.0013125190496610095
1000-5000,0.07299279279279279,1.328431526583791,1.3265577103063158,-0.001873816277475182
1000-5000,0.0739926926926927,1.328431526583791,1.325894564846528,-0.0025369617372630326
1000-5000,0.0749925925925926,1.328431526583791,1.3253681719595265,-0.003063354624264436
1000-5000,0.07599249249249249,1.328431526583791,1.3259008849802498,-0.002530641603541106
1000-5000,0.07699239239239239,1.328431526583791,1.3265890100781872,-0.0018425165056037418
1000-5000,0.07799229229229229,1.328431526583791,1.3257634931173705,-0.0026680334664204164
1000-5000,0.0789921921921922,1.328431526583791,1.3263029295898492,-0.002128596993941745
1000-5000,0.07999209209209208,1.328431526583791,1.3258850751228268,-0.0025464514609641054
1000-5000,0.08099199199199199,1.328431526583791,1.3258502192735417,-0.0025813073102491924
1000-5000,0.08199189189189189,1.328431526583791,1.326672216236969,-0.001759310346821863
1000-5000,0.0829917917917918,1.328431526583791,1.3255825779641355,-0.002848948619655456
1000-5000,0.0839916916916917,1.328431526583791,1.3264733423517685,-0.0019581842320224307
1000-5000,0.08499159159159159,1.328431526583791,1.326329719155282,-0.0021018074285088506
1000-5000,0.08599149149149149,1.328431526583791,1.326161540297588,-0.0022699862862030074
1000-5000,0.08699139139139139,1.328431526583791,1.325607041822959,-0.002824484760831858
1000-5000,0.0879912912912913,1.328431526583791,1.325460050282499,-0.00297147630129202
1000-5000,0.08899119119119119,1.328431526583791,1.3255059744939013,-0.002925552089889649
1000-5000,0.08999109109109109,1.328431526583791,1.324655126187999,-0.003776400395791857
1000-5000,0.09099099099099099,1.328431526583791,1.325628400607332,-0.002803125976458931
1000-5000,0.0919908908908909,1.328431526583791,1.3248417830497954,-0.0035897435339955486
1000-5000,0.09299079079079078,1.328431526583791,1.3251015502408343,-0.00332997634295662
1000-5000,0.09399069069069069,1.328431526583791,1.324970222557486,-0.0034613040263049566
1000-5000,0.09499059059059059,1.328431526583791,1.3251167975130713,-0.003314729070719613
