cloud_id,area,D_true,slice_frac,D_mirror,delta_D,R2_true,R2_mirror,area_mirror,perim_mirror
0,2375,,0.039696969696969696,,,0.0,0.0,4732,1626
0,2375,,0.049595959595959596,,,0.0,0.0,4732,1626
0,2375,,0.059494949494949496,,,0.0,0.0,4722,1608
0,2375,,0.06939393939393938,,,0.0,0.0,4710,1578
0,2375,,0.07929292929292929,,,0.0,0.0,4710,1578
0,2375,,0.08919191919191918,,,0.0,0.0,4684,1536
0,2375,,0.09909090909090908,,,0.0,0.0,4684,1536
0,2375,,0.10898989898989898,,,0.0,0.0,4644,1488
0,2375,,0.11888888888888888,,,0.0,0.0,4644,1488
0,2375,,0.12878787878787878,,,0.0,0.0,4580,1452
0,2375,,0.1386868686868687,,,0.0,0.0,4512,1408
0,2375,,0.1485858585858586,,,0.0,0.0,4512,1408
0,2375,,0.15848484848484848,,,0.0,0.0,4444,1374
0,2375,,0.16838383838383839,,,0.0,0.0,4444,1374
0,2375,,0.1782828282828283,,,0.0,0.0,4366,1348
0,2375,,0.18818181818181817,,,0.0,0.0,4366,1348
0,2375,,0.19808080808080808,,,0.0,0.0,4278,1332
0,2375,,0.207979797979798,,,0.0,0.0,4194,1310
0,2375,,0.21787878787878787,,,0.0,0.0,4194,1310
0,2375,,0.22777777777777777,,,0.0,0.0,4108,1280
0,2375,,0.23767676767676768,,,0.0,0.0,4108,1280
0,2375,,0.24757575757575756,,,0.0,0.0,4024,1256
0,2375,,0.25747474747474747,,,0.0,0.0,4024,1256
0,2375,,0.2673737373737374,,,0.0,0.0,3928,1198
0,2375,,0.2772727272727273,,,0.0,0.0,3806,1158
0,2375,,0.2871717171717172,,,0.0,0.0,3806,1158
0,2375,,0.29707070707070704,,,0.0,0.0,3672,1118
0,2375,,0.30696969696969695,,,0.0,0.0,3672,1118
0,2375,,0.31686868686868686,,,0.0,0.0,3530,1056
0,2375,,0.32676767676767676,,,0.0,0.0,3530,1056
0,2375,,0.33666666666666667,,,0.0,0.0,3374,1018
0,2375,,0.3465656565656566,,,0.0,0.0,3216,992
0,2375,,0.3564646464646465,,,0.0,0.0,3216,992
0,2375,,0.36636363636363634,,,0.0,0.0,3052,980
0,2375,,0.37626262626262624,,,0.0,0.0,3052,980
0,2375,,0.38616161616161615,,,0.0,0.0,2892,962
0,2375,,0.39606060606060606,,,0.0,0.0,2892,962
0,2375,,0.40595959595959596,,,0.0,0.0,2742,942
0,2375,,0.41585858585858587,,,0.0,0.0,2592,920
0,2375,,0.4257575757575757,,,0.0,0.0,2592,920
0,2375,,0.43565656565656563,,,0.0,0.0,2444,886
0,2375,,0.44555555555555554,,,0.0,0.0,2444,886
0,2375,,0.45545454545454545,,,0.0,0.0,2314,852
0,2375,,0.46535353535353535,,,0.0,0.0,2314,852
0,2375,,0.47525252525252526,,,0.0,0.0,2186,830
0,2375,,0.4851515151515151,,,0.0,0.0,2072,794
0,2375,,0.495050505050505,,,0.0,0.0,2072,794
0,2375,,0.5049494949494949,,,0.0,0.0,1970,762
0,2375,,0.5148484848484849,,,0.0,0.0,1970,762
0,2375,,0.5247474747474747,,,0.0,0.0,1876,720
0,2375,,0.5346464646464646,,,0.0,0.0,1772,684
0,2375,,0.5445454545454546,,,0.0,0.0,1772,684
0,2375,,0.5544444444444444,,,0.0,0.0,1668,654
0,2375,,0.5643434343434344,,,0.0,0.0,1668,654
0,2375,,0.5742424242424242,,,0.0,0.0,1562,618
0,2375,,0.5841414141414141,,,0.0,0.0,1562,618
0,2375,,0.594040404040404,,,0.0,0.0,1460,576
0,2375,,0.6039393939393939,,,0.0,0.0,1360,528
0,2375,,0.6138383838383838,,,0.0,0.0,1360,528
0,2375,,0.6237373737373737,,,0.0,0.0,1264,492
0,2375,,0.6336363636363637,,,0.0,0.0,1264,492
0,2375,,0.6435353535353535,,,0.0,0.0,1172,456
0,2375,,0.6534343434343434,,,0.0,0.0,1172,456
0,2375,,0.6633333333333333,,,0.0,0.0,1092,440
0,2375,,0.6732323232323232,,,0.0,0.0,1012,430
0,2375,,0.6831313131313131,,,0.0,0.0,1012,430
0,2375,,0.693030303030303,,,0.0,0.0,930,418
0,2375,,0.702929292929293,,,0.0,0.0,930,418
0,2375,,0.7128282828282828,,,0.0,0.0,852,408
0,2375,,0.7227272727272727,,,0.0,0.0,852,408
0,2375,,0.7326262626262626,,,0.0,0.0,776,400
0,2375,,0.7425252525252525,,,0.0,0.0,700,390
0,2375,,0.7524242424242424,,,0.0,0.0,700,390
0,2375,,0.7623232323232323,,,0.0,0.0,622,372
0,2375,,0.7722222222222221,,,0.0,0.0,622,372
0,2375,,0.7821212121212121,,,0.0,0.0,554,350
0,2375,,0.792020202020202,,,0.0,0.0,554,350
0,2375,,0.8019191919191919,,,0.0,0.0,492,334
0,2375,,0.8118181818181818,,,0.0,0.0,434,316
0,2375,,0.8217171717171717,,,0.0,0.0,434,316
0,2375,,0.8316161616161616,,,0.0,0.0,370,292
0,2375,,0.8415151515151514,,,0.0,0.0,370,292
0,2375,,0.8514141414141414,,,0.0,0.0,314,268
0,2375,,0.8613131313131313,,,0.0,0.0,314,268
0,2375,,0.8712121212121212,,,0.0,0.0,262,246
0,2375,,0.8811111111111111,,,0.0,0.0,208,216
0,2375,,0.891010101010101,,,0.0,0.0,208,216
0,2375,,0.9009090909090909,,,0.0,0.0,148,188
0,2375,,0.9108080808080807,,,0.0,0.0,148,188
0,2375,,0.9207070707070707,,,0.0,0.0,100,136
0,2375,,0.9306060606060605,,,0.0,0.0,100,136
