slice_id,D_est
0,1.4093387091356175
1,1.3484089110697717
2,1.3187171575213104
3,1.3011496257017727
4,1.289225037788844
5,1.2816964684087544
6,1.2778489609997556
7,1.2765992878755066
8,1.2773974560540047
9,1.2796672189777394
10,1.2831722704302124
11,1.2874310994755975
12,1.2917859967285652
13,1.2959881944793765
14,1.2999206361153588
15,1.303495375641246
16,1.3066515627050734
17,1.3093797882608904
18,1.311729098074017
19,1.313537825907993
20,1.3148445123517813
21,1.3159537779204813
22,1.3170148545191829
23,1.3182722863256784
24,1.3196733574228454
25,1.3214083245181436
26,1.32360258927979
27,1.326386432206049
28,1.3295240264923198
29,1.3314129483779709
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
