cloud_id,slice_id,area,perimeter
10,-1,146241,12310
10,0,486,218
10,1,2292,982
10,2,9176,2260
10,3,18654,3340
10,4,29442,4002
10,5,42450,4708
10,6,55192,5424
10,7,67600,6242
10,8,80838,6674
10,9,93638,7146
10,10,106034,7466
10,11,117616,7898
10,12,128522,8224
10,13,140170,8530
10,14,151342,9126
10,15,162960,9466
10,16,174272,10236
10,17,185314,11396
10,18,196104,12690
10,19,209858,14380
10,20,226148,15340
10,21,241058,16400
10,22,254896,17720
10,23,267494,18816
10,24,277990,20510
10,25,284336,21842
10,26,288412,23044
10,27,290598,23882
10,28,291890,24262
10,29,292482,24614
11,-1,56076,5230
11,0,170,188
11,1,530,490
11,2,1146,708
11,3,1946,1064
11,4,3910,1778
11,5,7866,2528
11,6,12162,3080
11,7,16904,3830
11,8,22766,4314
11,9,28988,4622
11,10,35772,4930
11,11,42850,5100
11,12,49530,5374
11,13,56332,5534
11,14,63042,5608
11,15,69336,5844
11,16,75154,6186
11,17,80670,6422
11,18,85526,6914
11,19,89714,7576
11,20,93330,8018
11,21,96496,8270
11,22,99556,8440
11,23,102338,8566
11,24,105124,8706
11,25,107574,9092
11,26,109528,9452
11,27,110956,9776
11,28,111850,10176
11,29,112152,10456
12,-1,25171,3848
12,0,72,96
12,1,440,430
12,2,1654,1098
12,3,2902,1764
12,4,4498,2354
12,5,6356,3012
12,6,9054,3282
12,7,11806,3448
12,8,14436,3558
12,9,17308,3702
12,10,20260,3856
12,11,22896,4084
12,12,25202,4326
12,13,27686,4540
12,14,29880,4612
12,15,32034,4722
12,16,33970,4896
12,17,36036,5024
12,18,38054,5188
12,19,39840,5334
12,20,41448,5448
12,21,43148,5820
12,22,44722,6020
12,23,46210,6312
12,24,47594,6506
12,25,48856,6892
12,26,49514,7208
12,27,50014,7410
12,28,50282,7632
12,29,50342,7694
13,-1,8172,1466
13,0,60,90
13,1,242,202
13,2,622,340
13,3,1200,424
13,4,1928,578
13,5,2666,696
13,6,3452,778
13,7,4274,822
13,8,5106,888
13,9,5962,1002
13,10,6718,1152
13,11,7338,1256
13,12,7918,1296
13,13,8540,1350
13,14,9190,1382
13,15,9836,1442
13,16,10540,1516
13,17,11284,1560
13,18,12098,1624
13,19,12872,1794
13,20,13534,2066
13,21,14026,2188
13,22,14468,2212
13,23,14876,2298
13,24,15240,2418
13,25,15680,2558
13,26,16038,2714
13,27,16222,2812
13,28,16318,2886
13,29,16344,2930
14,-1,3374,1302
14,0,36,54
14,1,122,164
14,2,274,340
14,3,638,592
14,4,1066,816
14,5,1582,1000
14,6,2182,1138
14,7,2644,1300
14,8,3080,1406
14,9,3570,1454
14,10,4064,1510
14,11,4456,1612
14,12,4792,1742
14,13,4954,1854
14,14,5092,1920
14,15,5228,1968
14,16,5352,2028
14,17,5430,2094
14,18,5496,2114
14,19,5570,2156
14,20,5686,2204
14,21,5786,2248
14,22,5914,2306
14,23,6094,2342
14,24,6258,2366
14,25,6410,2410
14,26,6548,2464
14,27,6662,2508
14,28,6728,2566
14,29,6748,2602
15,-1,25879,4696
15,0,124,132
15,1,640,524
15,2,1594,856
15,3,2790,1040
15,4,4198,1244
15,5,5712,1376
15,6,7150,1528
15,7,8770,1648
15,8,10578,1792
15,9,12378,2140
15,10,14090,2554
15,11,15766,2772
15,12,17412,2976
15,13,18998,3352
15,14,20600,3880
15,15,22618,4360
15,16,25232,4706
15,17,28128,5150
15,18,31162,5372
15,19,34192,5532
15,20,37216,5798
15,21,39862,6274
15,22,42544,6714
15,23,45066,7112
15,24,47204,7796
15,25,48916,8508
15,26,50068,8816
15,27,50970,8946
15,28,51494,9188
15,29,51758,9388
16,-1,3584,890
16,0,38,40
16,1,144,88
16,2,256,128
16,3,356,154
16,4,454,186
16,5,484,254
16,6,532,282
16,7,608,328
16,8,730,406
16,9,912,446
16,10,1128,470
16,11,1376,506
16,12,1628,570
16,13,1912,632
16,14,2264,678
16,15,2676,734
16,16,3038,790
16,17,3390,808
16,18,3796,906
16,19,4286,958
16,20,4756,998
16,21,5214,1026
16,22,5634,1064
16,23,6070,1106
16,24,6466,1286
16,25,6776,1442
16,26,7000,1590
16,27,7120,1694
16,28,7160,1756
16,29,7168,1778
17,-1,4057,1198
17,0,44,58
17,1,212,126
17,2,366,160
17,3,472,218
17,4,560,248
17,5,710,322
17,6,914,386
17,7,1140,456
17,8,1456,606
17,9,1814,728
17,10,2280,834
17,11,2806,908
17,12,3318,1040
17,13,3786,1198
17,14,4180,1344
17,15,4528,1426
17,16,4910,1490
17,17,5304,1520
17,18,5684,1572
17,19,6046,1624
17,20,6324,1694
17,21,6620,1746
17,22,6954,1792
17,23,7302,1850
17,24,7572,1970
17,25,7788,2066
17,26,7906,2214
17,27,7990,2294
17,28,8076,2344
17,29,8114,2392
18,-1,6807,1604
18,0,18,22
18,1,72,50
18,2,198,178
18,3,468,360
18,4,900,612
18,5,1430,794
18,6,2066,938
18,7,2844,1074
18,8,3696,1194
18,9,4532,1306
18,10,5306,1408
18,11,6122,1490
18,12,6966,1546
18,13,7812,1604
18,14,8642,1674
18,15,9444,1810
18,16,10066,1956
18,17,10614,2138
18,18,11092,2282
18,19,11526,2368
18,20,11918,2494
18,21,12252,2554
18,22,12592,2638
18,23,12922,2746
18,24,13168,2870
18,25,13366,2964
18,26,13518,3066
18,27,13580,3152
18,28,13606,3186
18,29,13614,3206
19,-1,42887,5516
19,0,346,244
19,1,1256,380
19,2,1952,586
19,3,3192,1208
19,4,5358,1730
19,5,7742,2290
19,6,9792,2866
19,7,12198,3678
19,8,15118,4158
19,9,18554,4562
19,10,22392,5008
19,11,26700,5240
19,12,30506,5612
19,13,34284,5932
19,14,37772,6162
19,15,41322,6614
19,16,44728,6856
19,17,48770,7366
19,18,53204,7576
19,19,57892,7696
19,20,62394,7956
19,21,66416,8126
19,22,70010,8518
19,23,72908,8758
19,24,75518,9022
19,25,78552,9344
19,26,81854,9526
19,27,84248,10076
19,28,85458,10828
19,29,85774,11028
20,-1,4473,1388
20,0,78,114
20,1,244,170
20,2,422,248
20,3,610,306
20,4,772,390
20,5,954,480
20,6,1230,568
20,7,1554,642
20,8,1902,792
20,9,2276,960
20,10,2814,1102
20,11,3412,1184
20,12,4068,1256
20,13,4810,1428
20,14,5546,1620
20,15,6166,1754
20,16,6582,1864
20,17,7002,1954
20,18,7390,2048
20,19,7716,2148
20,20,7960,2248
20,21,8174,2308
20,22,8376,2384
20,23,8556,2484
20,24,8648,2558
20,25,8754,2638
20,26,8814,2680
20,27,8884,2700
20,28,8936,2736
20,29,8946,2774
21,-1,4584,1202
21,0,30,42
21,1,142,154
21,2,416,310
21,3,762,416
21,4,1174,452
21,5,1598,494
21,6,2050,580
21,7,2534,640
21,8,2982,728
21,9,3336,808
21,10,3632,854
21,11,3948,936
21,12,4312,1026
21,13,4698,1106
21,14,5080,1174
21,15,5460,1224
21,16,5868,1288
21,17,6298,1340
21,18,6662,1430
21,19,7010,1498
21,20,7396,1574
21,21,7760,1636
21,22,8128,1744
21,23,8398,1924
21,24,8608,2040
21,25,8742,2158
21,26,8924,2256
21,27,9086,2308
21,28,9152,2378
21,29,9168,2402
22,-1,3284,902
22,0,26,24
22,1,108,98
22,2,236,168
22,3,396,250
22,4,550,316
22,5,798,444
22,6,1110,548
22,7,1480,598
22,8,1846,664
22,9,2120,766
22,10,2430,846
22,11,2726,886
22,12,3016,928
22,13,3320,980
22,14,3666,1028
22,15,4032,1080
22,16,4408,1140
22,17,4806,1190
22,18,5186,1236
22,19,5508,1322
22,20,5760,1412
22,21,5898,1458
22,22,6024,1502
22,23,6148,1544
22,24,6260,1592
22,25,6352,1642
22,26,6446,1680
22,27,6524,1724
22,28,6562,1778
22,29,6568,1802
23,-1,3334,972
23,0,8,18
23,1,42,48
23,2,90,106
23,3,174,198
23,4,366,298
23,5,572,390
23,6,812,438
23,7,1062,476
23,8,1302,506
23,9,1588,568
23,10,1888,634
23,11,2234,700
23,12,2606,782
23,13,2964,890
23,14,3326,1008
23,15,3710,1060
23,16,4072,1144
23,17,4468,1174
23,18,4846,1244
23,19,5214,1350
23,20,5568,1442
23,21,5862,1544
23,22,6112,1620
23,23,6306,1658
23,24,6456,1714
23,25,6538,1784
23,26,6614,1868
23,27,6650,1916
23,28,6662,1930
23,29,6668,1942
24,-1,5758,1938
24,0,62,46
24,1,198,124
24,2,416,184
24,3,668,234
24,4,1048,346
24,5,1566,480
24,6,1990,616
24,7,2358,696
24,8,2726,752
24,9,3160,888
24,10,3650,1058
24,11,4192,1268
24,12,4826,1526
24,13,5686,1778
24,14,6696,1970
24,15,7732,2154
24,16,8756,2376
24,17,9516,2664
24,18,9928,3008
24,19,10154,3148
24,20,10432,3242
24,21,10632,3394
24,22,10792,3484
24,23,10898,3542
24,24,10988,3594
24,25,11132,3656
24,26,11304,3750
24,27,11384,3802
24,28,11462,3834
24,29,11516,3870
25,-1,9132,1832
25,0,72,48
25,1,202,160
25,2,360,276
25,3,692,430
25,4,1232,530
25,5,1826,662
25,6,2386,786
25,7,2970,964
25,8,3644,1136
25,9,4418,1332
25,10,5506,1546
25,11,6698,1716
25,12,7744,2010
25,13,8632,2170
25,14,9458,2304
25,15,10368,2452
25,16,11226,2530
25,17,12038,2624
25,18,12924,2730
25,19,13702,2820
25,20,14478,2914
25,21,15200,2966
25,22,15914,3044
25,23,16560,3152
25,24,17024,3300
25,25,17406,3424
25,26,17748,3474
25,27,18022,3530
25,28,18218,3600
25,29,18264,3662
26,-1,5706,1228
26,0,46,44
26,1,188,192
26,2,494,408
26,3,988,532
26,4,1554,614
26,5,2120,710
26,6,2762,782
26,7,3474,858
26,8,4180,930
26,9,4830,1026
26,10,5402,1086
26,11,5990,1142
26,12,6576,1198
26,13,7014,1272
26,14,7442,1366
26,15,7854,1398
26,16,8238,1452
26,17,8528,1486
26,18,8754,1564
26,19,8990,1622
26,20,9302,1724
26,21,9580,1798
26,22,9836,1870
26,23,10094,1954
26,24,10426,2058
26,25,10796,2154
26,26,11046,2260
26,27,11224,2348
26,28,11344,2390
26,29,11412,2452
27,-1,3029,926
27,0,10,18
27,1,28,42
27,2,108,118
27,3,226,202
27,4,372,280
27,5,576,388
27,6,812,500
27,7,1126,602
27,8,1464,688
27,9,1806,810
27,10,2174,910
27,11,2558,950
27,12,2968,982
27,13,3378,1028
27,14,3746,1054
27,15,4104,1078
27,16,4454,1136
27,17,4726,1200
27,18,4988,1250
27,19,5260,1304
27,20,5448,1420
