cloud_id,slice_id,area,perimeter
7,-1,3625,1336
7,0,24,50
7,1,78,118
7,2,158,174
7,3,300,270
7,4,466,350
7,5,618,398
7,6,794,488
7,7,1032,568
7,8,1256,628
7,9,1484,680
7,10,1718,770
7,11,1992,886
7,12,2314,1010
7,13,2666,1174
7,14,3092,1372
7,15,3572,1538
7,16,4118,1628
7,17,4640,1724
7,18,5136,1812
7,19,5558,2028
7,20,5832,2196
7,21,6068,2236
7,22,6294,2286
7,23,6546,2336
7,24,6754,2428
7,25,6904,2502
7,26,7030,2572
7,27,7136,2592
7,28,7216,2626
7,29,7250,2670
8,-1,8990,2262
8,0,130,140
8,1,454,232
8,2,874,408
8,3,1422,622
8,4,2292,880
8,5,3238,960
8,6,4076,1058
8,7,4754,1224
8,8,5586,1380
8,9,6494,1532
8,10,7164,1678
8,11,7710,1780
8,12,8194,1920
8,13,8602,2012
8,14,9084,2148
8,15,9682,2236
8,16,10318,2294
8,17,10902,2336
8,18,11478,2428
8,19,12164,2602
8,20,13058,2786
8,21,14022,2980
8,22,14912,3130
8,23,15820,3438
8,24,16420,3684
8,25,16824,3832
8,26,17166,3962
8,27,17520,4190
8,28,17844,4376
8,29,17980,4520
9,-1,5219,1808
9,0,26,36
9,1,114,160
9,2,388,328
9,3,870,534
9,4,1316,684
9,5,1874,824
9,6,2486,924
9,7,3136,1026
9,8,3756,1104
9,9,4482,1188
9,10,5296,1312
9,11,6020,1526
9,12,6560,1746
9,13,7092,1936
9,14,7480,2174
9,15,7758,2422
9,16,7924,2590
9,17,8064,2678
9,18,8216,2730
9,19,8448,2858
9,20,8642,3026
9,21,8930,3122
9,22,9244,3170
9,23,9536,3218
9,24,9790,3288
9,25,9974,3402
9,26,10114,3460
9,27,10232,3500
9,28,10370,3538
9,29,10438,3610
10,-1,3206,1158
10,0,24,44
10,1,80,120
10,2,208,228
10,3,410,290
10,4,560,358
10,5,788,538
10,6,1008,670
10,7,1282,728
10,8,1616,816
10,9,1938,916
10,10,2160,994
10,11,2394,1050
10,12,2682,1094
10,13,2998,1130
10,14,3292,1164
10,15,3670,1280
10,16,4040,1406
10,17,4408,1488
10,18,4790,1592
10,19,5090,1690
10,20,5254,1784
10,21,5420,1842
10,22,5604,1892
10,23,5750,1940
10,24,5892,2040
10,25,6058,2086
10,26,6204,2132
10,27,6318,2206
10,28,6394,2278
10,29,6412,2314
11,-1,6551,1134
11,0,68,84
11,1,292,198
11,2,552,260
11,3,830,346
11,4,1128,444
11,5,1480,550
11,6,1862,624
11,7,2298,698
11,8,2754,824
11,9,3310,924
11,10,3936,974
11,11,4602,1014
11,12,5284,1052
11,13,6004,1124
11,14,6820,1178
11,15,7626,1236
11,16,8450,1264
11,17,9240,1310
11,18,9948,1404
11,19,10584,1520
11,20,11132,1656
11,21,11488,1746
11,22,11844,1816
11,23,12166,1882
11,24,12458,1966
11,25,12714,2044
11,26,12900,2136
11,27,13008,2194
11,28,13076,2232
11,29,13102,2266
12,-1,13395,3370
12,0,116,142
12,1,486,298
12,2,1102,606
12,3,2018,1036
12,4,3100,1562
12,5,4270,2084
12,6,5644,2488
12,7,7348,2820
12,8,9118,3188
12,9,11016,3416
12,10,12958,3648
12,11,14756,3824
12,12,16300,4014
12,13,17666,4192
12,14,18728,4568
12,15,19506,4856
12,16,20508,5024
12,17,21540,5086
12,18,22522,5182
12,19,23494,5356
12,20,24380,5654
12,21,24814,5890
12,22,25036,5940
12,23,25224,6008
12,24,25482,6112
12,25,25916,6312
12,26,26302,6462
12,27,26472,6554
12,28,26674,6630
12,29,26790,6738
13,-1,22427,2898
13,0,152,120
13,1,474,274
13,2,986,458
13,3,1650,676
13,4,2168,880
13,5,2608,992
13,6,3138,1056
13,7,3638,1134
13,8,4264,1242
13,9,4950,1440
13,10,6210,1832
13,11,7954,2080
13,12,10296,2446
13,13,13032,2612
13,14,15912,2724
13,15,18714,2902
13,16,21418,3148
13,17,23964,3364
13,18,26602,3542
13,19,29136,3644
13,20,31500,3734
13,21,33928,3822
13,22,36176,4010
13,23,38170,4352
13,24,39810,4754
13,25,41126,5050
13,26,42556,5214
13,27,43986,5392
13,28,44692,5646
13,29,44854,5792
14,-1,6777,2520
14,0,66,90
14,1,238,214
14,2,490,280
14,3,660,354
14,4,846,506
14,5,1196,726
14,6,1674,876
14,7,2208,978
14,8,2626,1134
14,9,3066,1466
14,10,3606,1688
14,11,4076,1892
14,12,4712,2086
14,13,5366,2340
14,14,5824,2618
14,15,6266,2812
14,16,6774,2928
14,17,7066,3226
14,18,7522,3408
14,19,8040,3476
14,20,8664,3668
14,21,9180,3906
14,22,9736,4160
14,23,10398,4226
14,24,11002,4368
14,25,11756,4482
14,26,12508,4598
14,27,13058,4756
14,28,13414,4920
14,29,13554,5038
15,-1,55867,6566
15,0,882,430
15,1,2642,776
15,2,4512,984
15,3,6092,1324
15,4,7388,1812
15,5,9564,2496
15,6,12480,2936
15,7,14878,3484
15,8,17174,3722
15,9,19270,3882
15,10,20738,4332
15,11,21942,4634
15,12,23868,5160
15,13,27138,5540
15,14,30530,5860
15,15,35266,6476
15,16,41008,6890
15,17,47526,7358
15,18,54242,7944
15,19,61616,8504
15,20,69324,9052
15,21,77980,9278
15,22,86500,9586
15,23,93584,10088
15,24,98922,10880
15,25,102440,11454
15,26,105506,11788
15,27,108582,12056
15,28,110744,12518
15,29,111734,13126
16,-1,6779,1674
16,0,64,74
16,1,272,184
16,2,724,310
16,3,1372,514
16,4,2066,646
16,5,2804,714
16,6,3586,802
16,7,4464,874
16,8,5164,1042
16,9,5746,1176
16,10,6286,1344
16,11,6590,1510
16,12,6838,1596
16,13,7122,1674
16,14,7480,1722
16,15,7898,1810
16,16,8258,1890
16,17,8612,2024
16,18,9070,2220
16,19,9610,2470
16,20,10260,2596
16,21,10864,2720
16,22,11300,2856
16,23,11746,2958
16,24,12234,3024
16,25,12646,3098
16,26,13022,3164
16,27,13358,3210
16,28,13526,3310
16,29,13558,3346
17,-1,6589,1202
17,0,70,42
17,1,182,104
17,2,390,256
17,3,750,378
17,4,1224,510
17,5,1852,578
17,6,2540,636
17,7,3222,750
17,8,3802,866
17,9,4300,990
17,10,4898,1050
17,11,5514,1110
17,12,6184,1144
17,13,6814,1226
17,14,7480,1346
17,15,8084,1472
17,16,8592,1512
17,17,9108,1542
17,18,9630,1594
17,19,10134,1666
17,20,10600,1750
17,21,10996,1814
17,22,11364,1842
17,23,11710,1866
17,24,12078,1926
17,25,12454,2028
17,26,12730,2162
17,27,12930,2242
17,28,13122,2318
17,29,13178,2402
18,-1,4766,1138
18,0,34,34
18,1,166,92
18,2,360,142
18,3,570,244
18,4,824,406
18,5,1206,622
18,6,1776,770
18,7,2320,876
18,8,2884,966
18,9,3426,1048
18,10,3938,1150
18,11,4380,1218
18,12,4844,1268
18,13,5326,1300
18,14,5848,1370
18,15,6386,1464
18,16,6854,1560
18,17,7200,1626
18,18,7458,1678
18,19,7686,1736
18,20,7874,1828
18,21,8070,1882
18,22,8272,1934
18,23,8496,1972
18,24,8724,2008
18,25,8982,2052
18,26,9206,2086
18,27,9360,2146
18,28,9478,2212
18,29,9532,2274
19,-1,4151,1530
19,0,30,44
19,1,132,92
19,2,266,122
19,3,438,260
19,4,652,352
19,5,904,404
19,6,1106,464
19,7,1358,546
19,8,1640,676
19,9,2068,898
19,10,2602,1136
19,11,3080,1284
19,12,3560,1456
19,13,3962,1586
19,14,4330,1698
19,15,4742,1780
19,16,5178,1852
19,17,5628,1948
19,18,6084,2098
19,19,6522,2218
19,20,6892,2292
19,21,7222,2444
19,22,7500,2506
19,23,7750,2614
19,24,7924,2752
19,25,8070,2840
19,26,8144,2910
19,27,8216,2962
19,28,8286,3022
19,29,8302,3058
20,-1,40239,4368
20,0,248,170
20,1,1094,368
20,2,2180,754
20,3,4766,1298
20,4,7630,1544
20,5,10314,1772
20,6,13474,2110
20,7,16790,2308
20,8,20472,2438
20,9,23980,2586
20,10,27204,3048
20,11,31308,3536
20,12,35466,3796
20,13,39350,4246
20,14,42266,4702
20,15,45380,5042
20,16,48798,5242
20,17,52226,5394
20,18,55610,5674
20,19,59192,5978
20,20,62704,6230
20,21,66270,6544
20,22,69760,6982
20,23,72690,7426
20,24,74972,7754
20,25,76760,7926
20,26,78492,8164
20,27,79778,8460
20,28,80294,8612
20,29,80478,8734
21,-1,9279,2382
21,0,104,114
21,1,584,464
21,2,1554,832
21,3,2670,1068
21,4,3544,1218
21,5,4402,1314
21,6,5334,1392
21,7,6302,1472
21,8,7434,1578
21,9,8478,1718
21,10,9384,1916
21,11,10166,2140
21,12,10648,2348
21,13,11172,2600
21,14,11700,2886
21,15,11992,3066
21,16,12660,3242
21,17,13320,3340
21,18,14050,3444
21,19,14830,3566
21,20,15578,3722
21,21,16320,3906
21,22,16868,4052
21,23,17166,4208
21,24,17428,4290
21,25,17700,4368
21,26,18038,4468
21,27,18310,4586
21,28,18474,4692
21,29,18558,4756
22,-1,5634,1272
22,0,26,46
22,1,78,98
22,2,162,146
22,3,290,254
22,4,464,378
22,5,614,508
22,6,810,588
22,7,1056,610
22,8,1326,688
22,9,1704,772
22,10,2196,852
22,11,2782,948
22,12,3408,994
22,13,4048,1078
22,14,4772,1154
22,15,5470,1216
22,16,6156,1332
