cloud_id,slice_id,area,perimeter
5,-1,7892,2012
5,0,26,44
5,1,100,116
5,2,212,180
5,3,342,218
5,4,502,374
5,5,898,704
5,6,1662,1034
5,7,2366,1160
5,8,3088,1332
5,9,3824,1528
5,10,4642,1732
5,11,5522,1830
5,12,6386,1974
5,13,7356,2058
5,14,8388,2144
5,15,9466,2186
5,16,10544,2292
5,17,11520,2454
5,18,12378,2596
5,19,13084,2822
5,20,13706,3096
5,21,14204,3248
5,22,14576,3362
5,23,14920,3568
5,24,15214,3706
5,25,15454,3794
5,26,15632,3868
5,27,15724,3932
5,28,15752,3972
5,29,15784,4016
6,-1,5387,1488
6,0,62,80
6,1,158,154
6,2,292,312
6,3,642,528
6,4,1120,632
6,5,1710,786
6,6,2438,896
6,7,3148,1012
6,8,3786,1120
6,9,4332,1244
6,10,4872,1360
6,11,5438,1534
6,12,5886,1646
6,13,6306,1766
6,14,6720,1868
6,15,7184,1958
6,16,7630,2046
6,17,8014,2144
6,18,8458,2288
6,19,8870,2368
6,20,9220,2446
6,21,9536,2504
6,22,9800,2560
6,23,10076,2606
6,24,10330,2648
6,25,10538,2722
6,26,10676,2876
6,27,10742,2928
6,28,10764,2954
6,29,10774,2972
7,-1,8265,2060
7,0,66,66
7,1,196,164
7,2,472,436
7,3,1138,798
7,4,2078,1018
7,5,3146,1304
7,6,4140,1446
7,7,5072,1696
7,8,6022,1916
7,9,6954,2068
7,10,7758,2130
7,11,8592,2170
7,12,9448,2208
7,13,10290,2350
7,14,11068,2488
7,15,11814,2598
7,16,12578,2700
7,17,13214,2844
7,18,13786,2992
7,19,14368,3218
7,20,14702,3402
7,21,15008,3532
7,22,15256,3624
7,23,15548,3694
7,24,15876,3730
7,25,16072,3836
7,26,16264,3916
7,27,16420,3986
7,28,16506,4060
7,29,16530,4118
8,-1,9681,1778
8,0,146,158
8,1,364,322
8,2,588,414
8,3,884,480
8,4,1168,522
8,5,1440,604
8,6,1714,660
8,7,2080,796
8,8,2516,890
8,9,3184,1116
8,10,4132,1266
8,11,5194,1366
8,12,6366,1496
8,13,7616,1556
8,14,8790,1670
8,15,9856,1808
8,16,10852,1894
8,17,11808,1938
8,18,12682,2108
8,19,13570,2248
8,20,14414,2354
8,21,15216,2402
8,22,15940,2484
8,23,16652,2642
8,24,17404,2758
8,25,18106,2930
8,26,18618,3160
8,27,19052,3330
8,28,19310,3480
8,29,19362,3552
9,-1,3521,1548
9,0,54,60
9,1,192,118
9,2,294,176
9,3,428,232
9,4,618,326
9,5,868,460
9,6,1224,622
9,7,1478,750
9,8,1640,824
9,9,1800,932
9,10,1986,1044
9,11,2268,1168
9,12,2590,1362
9,13,3010,1474
9,14,3412,1582
9,15,3906,1716
9,16,4322,1890
9,17,4770,2006
9,18,5222,2078
9,19,5576,2140
9,20,5890,2220
9,21,6154,2404
9,22,6344,2472
9,23,6462,2602
9,24,6564,2680
9,25,6718,2800
9,26,6796,2892
9,27,6888,2938
9,28,6980,3024
9,29,7042,3092
10,-1,24312,3588
10,0,90,86
10,1,618,330
10,2,1518,468
10,3,2518,614
10,4,3768,808
10,5,5280,994
10,6,6946,1358
10,7,8998,1594
10,8,11478,2004
10,9,14328,2480
10,10,16804,2910
10,11,19070,3220
10,12,20812,3600
10,13,22502,4106
10,14,24250,4442
10,15,26280,4624
10,16,28356,4800
10,17,30540,5074
10,18,33010,5276
10,19,35174,5430
10,20,37252,5494
10,21,39322,5600
10,22,41238,5890
10,23,43104,6052
10,24,44756,6212
10,25,46250,6368
10,26,47516,6588
10,27,48236,6860
10,28,48534,7066
10,29,48624,7170
11,-1,57781,8552
11,0,446,310
11,1,1030,600
11,2,1576,898
11,3,2186,1228
11,4,3838,1772
11,5,7566,2324
11,6,11314,2730
11,7,15218,3454
11,8,20518,4156
11,9,27010,5132
11,10,35528,6524
11,11,45316,7344
11,12,54386,8124
11,13,62172,9016
11,14,68502,9708
11,15,73150,10436
11,16,76874,11152
11,17,81962,11824
11,18,86998,12718
11,19,90044,13528
11,20,92670,14124
11,21,95052,14356
11,22,97958,14818
11,23,101332,15044
11,24,104560,15248
11,25,107998,15488
11,26,111144,15622
11,27,113280,16104
11,28,114934,16676
11,29,115562,17102
12,-1,4141,1048
12,0,26,30
12,1,54,50
12,2,96,96
12,3,244,270
12,4,528,368
12,5,824,480
12,6,1160,586
12,7,1588,682
12,8,2060,730
12,9,2522,792
12,10,3002,866
12,11,3468,948
12,12,3922,1004
12,13,4418,1036
12,14,4910,1056
12,15,5404,1082
12,16,5910,1158
12,17,6428,1260
12,18,6864,1382
12,19,7242,1516
12,20,7578,1668
12,21,7836,1790
12,22,7958,1824
12,23,8054,1866
12,24,8130,1928
12,25,8184,1978
12,26,8232,2024
12,27,8258,2048
12,28,8270,2070
12,29,8282,2092
13,-1,3510,1038
13,0,70,84
13,1,204,168
13,2,416,224
13,3,702,358
13,4,1042,494
13,5,1372,636
13,6,1772,742
13,7,2234,828
13,8,2680,894
13,9,3106,920
13,10,3482,1008
13,11,3860,1122
13,12,4248,1200
13,13,4600,1308
13,14,4906,1372
13,15,5192,1432
13,16,5476,1476
13,17,5720,1522
13,18,5932,1562
13,19,6128,1596
13,20,6324,1692
13,21,6436,1764
13,22,6532,1808
13,23,6598,1834
13,24,6668,1856
13,25,6770,1900
13,26,6900,1942
13,27,6980,2016
13,28,7010,2052
13,29,7020,2074
14,-1,7564,1866
14,0,96,96
14,1,406,196
14,2,696,260
14,3,966,358
14,4,1488,458
14,5,2208,720
14,6,3016,930
14,7,3986,1162
14,8,5140,1300
14,9,6336,1494
14,10,7482,1580
14,11,8542,1686
14,12,9306,1766
14,13,9968,1890
14,14,10516,2016
14,15,11022,2212
14,16,11572,2316
14,17,12102,2416
14,18,12622,2532
14,19,13212,2672
14,20,13818,2852
14,21,14224,3010
14,22,14574,3256
14,23,14738,3366
14,24,14854,3436
14,25,14936,3488
14,26,15002,3516
14,27,15032,3574
14,28,15106,3668
14,29,15128,3730
15,-1,30927,3762
15,0,140,118
15,1,444,248
15,2,786,348
15,3,1308,544
15,4,1908,744
15,5,2284,888
15,6,3038,1154
15,7,4150,1378
15,8,5902,1576
15,9,7998,1744
15,10,10466,2094
15,11,12614,2324
15,12,14916,2546
15,13,17718,2852
15,14,20798,3120
15,15,24370,3296
15,16,27746,3572
15,17,30646,3774
15,18,33274,3942
15,19,35854,4100
15,20,38892,4418
15,21,42366,4676
15,22,46094,5290
15,23,49378,5766
15,24,52146,6054
15,25,54628,6346
15,26,57288,6506
15,27,59788,6856
15,28,61318,7190
15,29,61854,7522
16,-1,18044,3772
16,0,64,84
16,1,184,188
16,2,350,302
16,3,796,558
16,4,1334,706
16,5,1922,820
16,6,2714,1166
16,7,4096,1706
16,8,6026,2078
16,9,7960,2480
16,10,10194,2846
16,11,12382,3146
16,12,14706,3572
16,13,17228,4034
16,14,19648,4236
16,15,21968,4392
16,16,24302,4628
16,17,26598,4914
16,18,28448,5432
16,19,30132,5998
16,20,31300,6324
16,21,32214,6538
16,22,32882,6690
16,23,33526,6782
16,24,34090,6936
16,25,34670,7006
16,26,35144,7056
16,27,35606,7176
16,28,35924,7374
16,29,36088,7538
17,-1,3885,1076
17,0,38,48
17,1,138,144
17,2,316,226
17,3,528,292
17,4,772,350
17,5,1062,460
17,6,1454,606
17,7,1842,734
17,8,2334,818
17,9,2830,878
17,10,3302,930
17,11,3748,958
17,12,4148,1010
