cloud_id,slice_id,area,perimeter
8,-1,13833,2754
8,0,150,90
8,1,342,172
8,2,606,318
8,3,958,384
8,4,1264,462
8,5,1760,652
8,6,2186,1000
8,7,2580,1416
8,8,3210,1688
8,9,4040,1954
8,10,5352,2436
8,11,7214,2780
8,12,9142,3068
8,13,11092,3146
8,14,12968,3294
8,15,14752,3462
8,16,16306,3664
8,17,17770,3830
8,18,19168,3990
8,19,20478,4150
8,20,21702,4250
8,21,22974,4372
8,22,23982,4426
8,23,24960,4514
8,24,25770,4690
8,25,26450,4838
8,26,27014,5062
8,27,27314,5222
8,28,27566,5364
8,29,27666,5504
9,-1,8657,2214
9,0,262,192
9,1,860,322
9,2,1334,554
9,3,2008,752
9,4,2880,810
9,5,3734,896
9,6,4492,1188
9,7,5156,1474
9,8,5916,1562
9,9,6658,1618
9,10,7584,1760
9,11,8696,1872
9,12,9756,1982
9,13,10734,2092
9,14,11462,2190
9,15,12144,2410
9,16,12666,2602
9,17,13076,2696
9,18,13406,2778
9,19,13744,2966
9,20,14178,3338
9,21,14766,3582
9,22,15362,3704
9,23,15916,3776
9,24,16258,3874
9,25,16516,4028
9,26,16900,4128
9,27,17092,4244
9,28,17222,4324
9,29,17314,4422
10,-1,5170,1158
10,0,68,64
10,1,210,158
10,2,366,288
10,3,448,382
10,4,586,508
10,5,740,546
10,6,910,606
10,7,1142,656
10,8,1424,730
10,9,1780,814
10,10,2202,904
10,11,2690,928
10,12,3208,986
10,13,3740,1042
10,14,4258,1082
10,15,4754,1112
10,16,5286,1164
10,17,5810,1210
10,18,6344,1276
10,19,6928,1418
10,20,7598,1496
10,21,8188,1568
10,22,8702,1674
10,23,9150,1790
10,24,9548,1870
10,25,9874,2002
10,26,10078,2096
10,27,10216,2184
10,28,10298,2244
10,29,10340,2314
11,-1,16152,3772
11,0,290,130
11,1,698,296
11,2,1058,496
11,3,1710,846
11,4,2928,1060
11,5,4220,1144
11,6,5512,1366
11,7,7270,1592
11,8,9238,1710
11,9,11400,1928
11,10,13934,2340
11,11,16138,2926
11,12,17744,3322
11,13,19260,3580
11,14,20668,3858
11,15,21952,4344
11,16,22816,4606
11,17,23724,4794
11,18,24448,4984
11,19,25144,5194
11,20,26242,5460
11,21,27228,5824
11,22,27764,6098
11,23,28272,6336
11,24,29148,6562
11,25,30294,6746
