cloud_id,slice_id,area,perimeter
11,-1,4079,1546
11,0,38,28
11,1,112,76
11,2,324,198
11,3,610,344
11,4,956,534
11,5,1180,588
11,6,1392,632
11,7,1622,682
11,8,1850,736
11,9,2136,814
11,10,2456,938
11,11,2724,1030
11,12,3002,1160
11,13,3386,1266
11,14,3858,1344
11,15,4334,1396
11,16,4720,1462
11,17,5100,1562
11,18,5542,1712
11,19,6022,1940
11,20,6518,2228
11,21,6950,2460
11,22,7224,2536
11,23,7510,2656
11,24,7754,2794
11,25,7892,2898
11,26,8006,2940
11,27,8094,3002
11,28,8140,3046
11,29,8158,3090
12,-1,3349,1160
12,0,26,40
12,1,66,92
12,2,186,144
12,3,320,174
12,4,470,208
12,5,688,262
12,6,978,328
12,7,1314,394
12,8,1622,548
12,9,1850,708
12,10,2026,770
12,11,2230,832
12,12,2348,956
12,13,2430,1016
12,14,2568,1134
12,15,2820,1226
12,16,3098,1322
12,17,3400,1430
12,18,3776,1544
12,19,4078,1626
12,20,4404,1706
12,21,4742,1774
12,22,5062,1870
12,23,5376,1944
12,24,5638,1986
12,25,5892,2016
12,26,6142,2038
12,27,6392,2088
12,28,6606,2180
12,29,6698,2306
13,-1,7994,1808
13,0,54,82
13,1,168,204
13,2,362,424
13,3,778,682
13,4,1396,868
13,5,2086,990
13,6,2906,1110
13,7,3738,1276
13,8,4536,1456
13,9,5404,1578
13,10,6294,1650
13,11,7022,1776
13,12,7752,1908
13,13,8608,2028
13,14,9460,2130
13,15,10332,2220
13,16,10988,2382
13,17,11540,2468
13,18,12172,2508
13,19,12796,2534
13,20,13418,2580
13,21,14000,2648
13,22,14538,2740
13,23,14968,2880
13,24,15282,3030
13,25,15454,3234
13,26,15622,3384
13,27,15790,3456
13,28,15932,3536
13,29,15988,3612
14,-1,3503,1024
14,0,38,36
14,1,84,70
14,2,206,174
14,3,482,328
14,4,850,432
14,5,1250,494
14,6,1620,618
14,7,2032,688
14,8,2384,766
14,9,2654,798
14,10,2904,844
14,11,3158,896
14,12,3392,948
14,13,3548,1010
14,14,3746,1080
14,15,3992,1176
14,16,4276,1330
14,17,4626,1416
14,18,4938,1456
14,19,5238,1494
14,20,5528,1526
14,21,5862,1586
14,22,6188,1648
14,23,6478,1722
14,24,6670,1770
14,25,6808,1846
14,26,6886,1888
14,27,6962,1972
14,28,7000,2032
14,29,7006,2046
15,-1,7066,1550
15,0,104,130
15,1,456,202
15,2,866,300
15,3,1346,434
15,4,2056,504
15,5,2816,624
15,6,3498,722
15,7,4064,776
15,8,4726,834
15,9,5418,980
15,10,5884,1174
15,11,6266,1322
15,12,6570,1414
15,13,6820,1474
15,14,7202,1586
15,15,7680,1718
