cloud_id,slice_id,area,perimeter
6,-1,4104,1124
6,0,40,38
6,1,138,76
6,2,240,146
6,3,398,214
6,4,622,328
6,5,926,410
6,6,1350,520
6,7,1838,678
6,8,2400,804
6,9,2972,862
6,10,3460,946
6,11,3952,1014
6,12,4486,1076
6,13,4948,1148
6,14,5262,1204
6,15,5570,1292
6,16,5892,1368
6,17,6188,1480
6,18,6448,1584
6,19,6708,1666
6,20,6924,1718
6,21,7130,1760
6,22,7338,1848
6,23,7530,1918
6,24,7728,1978
6,25,7906,2042
6,26,8054,2096
6,27,8152,2150
6,28,8192,2216
6,29,8208,2242
7,-1,16152,2756
7,0,54,86
7,1,208,178
7,2,426,284
7,3,842,354
7,4,1472,466
7,5,2238,610
7,6,3028,880
7,7,3810,1196
7,8,4808,1404
7,9,6068,1534
7,10,7464,1796
7,11,9166,1994
7,12,10880,2200
7,13,12762,2568
7,14,14956,2846
7,15,17100,3130
7,16,19202,3314
7,17,21094,3434
7,18,22946,3578
7,19,24612,3764
7,20,26080,3912
7,21,27296,4018
7,22,28376,4112
7,23,29374,4228
7,24,30344,4500
7,25,31328,4846
7,26,31854,5100
7,27,31994,5224
7,28,32182,5376
7,29,32304,5506
8,-1,3161,794
8,0,56,82
8,1,202,188
8,2,398,334
8,3,656,506
8,4,924,582
8,5,1242,620
8,6,1576,652
8,7,1944,714
8,8,2344,762
8,9,2820,810
8,10,3304,832
8,11,3630,850
8,12,3972,876
8,13,4304,940
8,14,4586,1008
8,15,4826,1064
8,16,5014,1140
8,17,5182,1188
8,18,5326,1230
8,19,5470,1284
8,20,5600,1304
8,21,5744,1326
8,22,5902,1340
8,23,6038,1388
8,24,6156,1432
8,25,6242,1482
8,26,6278,1540
8,27,6304,1562
8,28,6316,1574
8,29,6322,1586
9,-1,4322,986
9,0,36,42
9,1,108,126
9,2,218,226
9,3,430,342
9,4,736,482
9,5,1058,562
9,6,1388,622
9,7,1794,726
9,8,2250,824
9,9,2678,896
9,10,3118,960
9,11,3578,1086
9,12,4066,1168
9,13,4540,1246
9,14,5016,1292
9,15,5476,1346
9,16,5936,1374
9,17,6410,1404
9,18,6858,1476
9,19,7258,1560
9,20,7504,1626
9,21,7706,1684
9,22,7884,1704
9,23,8060,1728
9,24,8222,1740
9,25,8370,1756
9,26,8482,1814
9,27,8576,1884
9,28,8624,1928
9,29,8644,1966
10,-1,4378,1738
10,0,44,56
10,1,168,140
10,2,304,234
10,3,426,358
10,4,620,512
10,5,914,672
10,6,1286,778
10,7,1688,816
10,8,2072,882
10,9,2400,922
10,10,2692,974
10,11,2970,1024
10,12,3244,1194
10,13,3522,1362
10,14,3788,1580
10,15,4106,1826
10,16,4504,2088
10,17,4976,2242
10,18,5410,2352
10,19,5870,2478
10,20,6400,2616
10,21,6938,2720
10,22,7318,2854
10,23,7602,2902
10,24,7838,2940
10,25,8158,3052
10,26,8454,3206
10,27,8658,3364
10,28,8742,3450
10,29,8756,3474
11,-1,4406,1386
11,0,42,36
11,1,122,112
11,2,274,214
11,3,550,384
11,4,910,582
11,5,1442,794
11,6,2120,910
11,7,2710,976
11,8,3240,1054
11,9,3678,1210
11,10,4062,1304
11,11,4366,1378
11,12,4616,1422
11,13,4852,1472
11,14,5054,1510
11,15,5276,1560
11,16,5492,1612
11,17,5682,1636
11,18,5900,1710
11,19,6168,1826
11,20,6426,1924
11,21,6740,2008
11,22,7028,2072
11,23,7322,2188
11,24,7614,2282
11,25,8018,2394
11,26,8412,2536
11,27,8644,2640
11,28,8766,2720
11,29,8812,2770
12,-1,3199,834
12,0,32,36
12,1,124,90
12,2,256,172
12,3,412,246
12,4,620,350
12,5,880,464
12,6,1188,574
12,7,1572,692
12,8,2008,742
12,9,2480,774
12,10,2808,790
12,11,3144,810
12,12,3478,826
12,13,3814,842
12,14,4120,870
12,15,4394,908
12,16,4642,940
12,17,4856,986
12,18,5048,1016
12,19,5226,1060
12,20,5368,1110
12,21,5502,1146
12,22,5638,1180
12,23,5796,1248
12,24,5952,1320
12,25,6078,1396
12,26,6200,1484
12,27,6294,1548
12,28,6362,1618
12,29,6398,1654
13,-1,36917,4950
13,0,266,312
13,1,1042,522
13,2,1726,844
13,3,2814,1478
13,4,4368,1914
13,5,6434,2172
13,6,8610,2398
13,7,10628,2550
13,8,12166,2772
13,9,13530,2884
13,10,15170,3244
13,11,17538,3854
13,12,20076,4482
13,13,23414,5172
13,14,27672,5590
13,15,31474,5790
13,16,35240,5890
13,17,38912,5990
13,18,42584,6176
13,19,46662,6580
13,20,51446,6786
13,21,56234,6966
13,22,60724,7216
13,23,64508,7850
13,24,66918,8508
13,25,69030,8822
13,26,71162,8996
13,27,72954,9292
13,28,73716,9760
13,29,73834,9898
14,-1,33664,5356
14,0,546,318
14,1,2288,930
14,2,5352,1396
14,3,9022,1730
14,4,12540,2030
14,5,15938,2492
14,6,19548,2872
14,7,22700,3250
14,8,25140,3472
14,9,27632,3752
14,10,29910,4254
14,11,31366,4822
14,12,32602,5220
14,13,34914,5652
14,14,37556,6124
14,15,40096,6358
14,16,42688,6864
14,17,44878,7432
14,18,46572,7678
14,19,49180,7896
14,20,51724,8218
14,21,54358,8524
14,22,56816,8912
14,23,58666,9172
14,24,60500,9294
14,25,62310,9516
14,26,63940,9690
14,27,65740,10004
14,28,67008,10390
14,29,67328,10708
15,-1,4698,1560
15,0,32,28
15,1,78,72
15,2,168,192
15,3,266,268
15,4,450,336
15,5,636,444
15,6,882,530
15,7,1170,610
15,8,1562,700
15,9,2018,772
15,10,2590,846
15,11,3270,954
15,12,4044,1046
15,13,4912,1182
15,14,5726,1450
15,15,6420,1692
15,16,6996,1960
15,17,7502,2208
15,18,8032,2360
15,19,8314,2508
15,20,8544,2584
15,21,8760,2662
15,22,8934,2730
15,23,9076,2814
15,24,9202,2904
15,25,9246,2998
15,26,9290,3024
15,27,9344,3058
15,28,9380,3088
15,29,9396,3116
16,-1,8627,2228
16,0,104,108
16,1,258,264
16,2,380,376
16,3,630,472
16,4,960,578
16,5,1362,700
16,6,1804,854
16,7,2336,986
16,8,2868,1132
16,9,3450,1256
16,10,4116,1426
16,11,5008,1640
16,12,6088,1758
16,13,7116,1914
16,14,8108,2150
16,15,9220,2320
16,16,10294,2416
16,17,11348,2520
16,18,12436,2650
16,19,13534,2876
16,20,14578,3226
16,21,15292,3516
16,22,15926,3728
16,23,16456,3912
16,24,16868,4084
16,25,17060,4256
16,26,17158,4344
16,27,17206,4388
16,28,17234,4424
16,29,17254,4454
17,-1,4094,1250
17,0,44,56
17,1,176,142
17,2,444,260
17,3,828,332
17,4,1168,410
17,5,1530,472
17,6,1922,558
17,7,2268,642
17,8,2694,758
17,9,3302,814
17,10,3818,902
17,11,4218,986
17,12,4610,1068
17,13,5024,1172
17,14,5332,1226
17,15,5558,1306
17,16,5878,1430
17,17,6272,1560
17,18,6718,1712
17,19,6986,1852
17,20,7072,1924
17,21,7134,1960
17,22,7190,2000
17,23,7340,2096
17,24,7542,2168
17,25,7776,2240
17,26,7988,2318
17,27,8138,2392
17,28,8166,2466
17,29,8188,2496
18,-1,4654,1474
18,0,20,34
18,1,86,124
18,2,236,234
18,3,438,406
18,4,792,534
18,5,1222,674
18,6,1794,814
18,7,2450,972
18,8,3104,1132
18,9,3802,1286
18,10,4604,1430
18,11,5400,1562
18,12,6122,1702
18,13,6756,1878
18,14,7314,2028
18,15,7742,2236
18,16,8082,2330
18,17,8346,2430
18,18,8594,2542
18,19,8818,2620
18,20,8954,2686
18,21,9044,2748
18,22,9092,2790
18,23,9134,2812
18,24,9174,2840
18,25,9212,2856
18,26,9244,2876
18,27,9274,2890
18,28,9300,2920
18,29,9308,2946
19,-1,9582,2240
19,0,48,78
19,1,392,340
19,2,946,590
19,3,1608,746
19,4,2466,846
19,5,3416,994
19,6,4562,1114
19,7,5676,1214
19,8,6666,1284
19,9,7472,1466
19,10,7964,1646
19,11,8446,1726
19,12,8924,1824
19,13,9524,1908
19,14,10210,2030
19,15,10842,2206
19,16,11440,2392
19,17,12038,2520
19,18,12778,2740
19,19,13644,2818
19,20,14580,2930
19,21,15436,3074
19,22,16214,3192
19,23,16924,3392
19,24,17546,3500
19,25,18092,3602
19,26,18490,3814
19,27,18762,4050
19,28,19082,4332
19,29,19164,4478
20,-1,3957,1088
20,0,20,24
20,1,52,52
20,2,144,122
20,3,350,216
20,4,618,316
20,5,868,368
20,6,1098,440
20,7,1284,520
20,8,1460,624
20,9,1722,736
20,10,2148,898
20,11,2586,1010
20,12,2996,1108
20,13,3344,1208
20,14,3706,1286
20,15,4100,1366
20,16,4498,1420
20,17,4968,1508
20,18,5416,1554
20,19,5816,1600
20,20,6220,1660
20,21,6618,1696
20,22,7014,1722
20,23,7340,1814
20,24,7576,1896
20,25,7766,2026
20,26,7838,2090
20,27,7884,2126
20,28,7906,2152
20,29,7914,2172
21,-1,4896,1314
21,0,46,54
21,1,208,218
21,2,386,362
21,3,674,514
21,4,1058,668
21,5,1524,764
21,6,2162,922
21,7,2882,1112
21,8,3590,1216
21,9,4200,1302
21,10,4808,1342
21,11,5326,1428
21,12,5814,1502
21,13,6400,1584
21,14,6974,1676
21,15,7380,1824
21,16,7726,1920
21,17,8006,1970
21,18,8326,1994
21,19,8634,2034
21,20,8962,2094
21,21,9168,2244
21,22,9244,2320
21,23,9336,2352
21,24,9424,2382
21,25,9506,2442
21,26,9586,2496
21,27,9678,2522
21,28,9752,2586
21,29,9792,2624
22,-1,7982,1588
22,0,48,54
22,1,186,140
22,2,346,224
22,3,608,342
22,4,856,408
22,5,1124,468
22,6,1444,566
22,7,1782,660
22,8,2092,778
22,9,2370,812
22,10,2734,918
22,11,3288,1110
22,12,4080,1366
22,13,5094,1548
22,14,6208,1634
22,15,7378,1672
22,16,8562,1740
22,17,9670,1828
22,18,10738,1884
22,19,11752,1942
22,20,12722,2044
22,21,13636,2086
22,22,14488,2204
22,23,15138,2502
22,24,15464,2790
22,25,15654,2952
22,26,15776,3048
22,27,15868,3088
22,28,15938,3136
22,29,15964,3172
23,-1,3704,1144
23,0,16,22
23,1,72,56
23,2,182,156
23,3,298,328
23,4,522,492
23,5,780,586
23,6,1094,722
23,7,1434,812
23,8,1802,902
23,9,2134,1022
23,10,2522,1100
23,11,2938,1124
23,12,3372,1150
23,13,3826,1198
23,14,4320,1236
23,15,4836,1308
23,16,5336,1360
23,17,5774,1428
23,18,6118,1558
23,19,6366,1698
23,20,6628,1828
23,21,6814,1892
23,22,6974,1984
23,23,7118,2070
23,24,7228,2128
23,25,7298,2178
23,26,7358,2228
23,27,7390,2246
23,28,7400,2270
23,29,7408,2286
24,-1,6617,1862
24,0,36,34
24,1,68,66
24,2,154,134
24,3,352,248
24,4,664,372
24,5,1040,514
24,6,1604,714
24,7,2354,922
24,8,3242,1102
24,9,4000,1190
24,10,4740,1270
24,11,5418,1362
24,12,6076,1392
24,13,6766,1474
24,14,7638,1660
24,15,8578,1872
24,16,9206,2098
24,17,9802,2328
24,18,10422,2640
24,19,11012,2878
24,20,11492,3078
24,21,11868,3256
24,22,12106,3386
24,23,12324,3476
24,24,12540,3504
24,25,12746,3526
24,26,12930,3576
24,27,13104,3616
24,28,13208,3664
24,29,13234,3722
25,-1,37021,5314
25,0,232,148
25,1,748,408
25,2,2302,1024
25,3,4992,1450
25,4,7696,1724
25,5,10270,1950
25,6,13398,2482
25,7,17130,3094
25,8,21278,3214
25,9,25018,3568
25,10,28424,3798
25,11,31522,4012
25,12,34428,4534
25,13,38124,4920
25,14,41842,5158
25,15,45386,5602
25,16,48284,6246
25,17,51308,6876
25,18,54102,7134
25,19,56454,7450
25,20,59028,7742
25,21,61272,7994
25,22,63730,8346
25,23,66360,8696
25,24,68450,8942
25,25,70272,9340
25,26,71614,9658
25,27,72806,9992
25,28,73806,10378
25,29,74042,10626
26,-1,3129,886
26,0,32,38
26,1,100,76
26,2,180,124
26,3,288,152
26,4,408,176
26,5,568,222
26,6,704,264
26,7,866,302
26,8,1040,374
26,9,1328,504
26,10,1638,584
26,11,1918,686
26,12,2220,740
26,13,2598,888
26,14,3082,962
26,15,3606,1014
26,16,4148,1040
26,17,4684,1110
26,18,5156,1246
26,19,5506,1400
26,20,5670,1482
26,21,5816,1530
26,22,5920,1602
26,23,5984,1638
26,24,6042,1650
26,25,6116,1674
26,26,6172,1692
26,27,6218,1720
26,28,6248,1740
26,29,6258,1770
27,-1,4238,1156
27,0,72,64
27,1,202,176
27,2,378,340
27,3,620,466
27,4,874,504
27,5,1112,594
27,6,1338,720
27,7,1546,834
27,8,1704,908
27,9,1918,984
27,10,2164,1060
27,11,2412,1146
27,12,2696,1200
27,13,3018,1272
27,14,3444,1388
27,15,3964,1446
27,16,4514,1516
27,17,5054,1596
27,18,5484,1660
27,19,5884,1700
27,20,6302,1730
27,21,6722,1762
27,22,7130,1800
27,23,7564,1834
27,24,7908,1926
27,25,8156,2056
27,26,8340,2158
27,27,8418,2238
27,28,8454,2282
27,29,8476,2308
28,-1,8182,1944
28,0,60,84
28,1,212,136
28,2,378,220
28,3,594,364
28,4,768,520
28,5,948,598
28,6,1222,716
28,7,1638,826
28,8,2222,972
28,9,2888,1092
28,10,3604,1228
28,11,4518,1430
28,12,5462,1524
28,13,6278,1598
28,14,7184,1712
28,15,8126,1812
28,16,8938,1956
28,17,9464,2134
28,18,9942,2262
28,19,10414,2374
28,20,10908,2456
28,21,11468,2620
28,22,12122,2760
28,23,12966,2896
28,24,13814,3068
28,25,14602,3210
28,26,15376,3392
28,27,15940,3580
28,28,16306,3780
28,29,16364,3886
29,-1,10088,2044
29,0,34,32
29,1,106,132
29,2,418,304
29,3,1002,462
29,4,1638,648
29,5,2360,780
29,6,3098,846
29,7,3810,932
29,8,4508,986
29,9,5162,1090
29,10,5846,1230
29,11,6646,1378
29,12,7470,1510
29,13,8160,1578
29,14,8796,1616
29,15,9472,1694
29,16,10292,1998
29,17,11354,2282
29,18,12556,2438
29,19,13784,2538
29,20,14878,2660
29,21,15886,2728
29,22,16912,2808
29,23,18010,2968
29,24,18882,3198
29,25,19320,3424
29,26,19692,3666
29,27,19930,3836
29,28,20086,3984
29,29,20176,4076
30,-1,3877,1160
30,0,34,62
30,1,88,104
30,2,162,168
30,3,238,256
30,4,368,334
30,5,600,460
30,6,862,564
30,7,1152,734
30,8,1568,856
30,9,1998,968
30,10,2368,1064
30,11,2656,1148
30,12,2912,1222
30,13,3182,1292
30,14,3510,1352
30,15,3884,1406
30,16,4298,1478
30,17,4680,1496
30,18,5052,1552
30,19,5394,1662
30,20,5764,1788
30,21,6078,1844
30,22,6398,1882
30,23,6732,1952
30,24,7058,2016
30,25,7330,2092
30,26,7548,2158
30,27,7686,2226
30,28,7740,2278
30,29,7754,2318
31,-1,4965,1370
31,0,36,66
31,1,116,176
31,2,342,354
31,3,596,494
31,4,934,614
31,5,1286,706
31,6,1628,808
31,7,1996,854
31,8,2438,924
31,9,2830,1076
31,10,3162,1256
31,11,3482,1394
31,12,3958,1540
31,13,4418,1618
31,14,4922,1724
31,15,5414,1824
31,16,5938,1896
31,17,6470,1946
31,18,6974,1980
31,19,7448,2064
31,20,7914,2126
31,21,8366,2190
31,22,8780,2296
31,23,9100,2412
31,24,9336,2510
31,25,9526,2580
